A1BG	alpha-1-B glycoprotein
AFP	FETA|alpha-fetoprotein
AFTPH	MGC33965|FLJ20080|FLJ23793|Nbla10388|aftiphilin
AGA	ASRG|aspartylglucosaminidase
AGAP1	KIAA1099|GGAP1|ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
AGAP4	Em:AC012044.1|MRIP2|ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
AGAP5	Em:AC073389.1|ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
AGAP6	bA324H6.1|ArfGAP with GTPase domain, ankyrin repeat and PH domain 6
AGAP9	bA301J7.2|FLJ00312|ArfGAP with GTPase domain, ankyrin repeat and PH domain 9
AGBL1	FLJ32310|CCP4|ATP/GTP binding protein-like 1
AGBL2	FLJ23598|CCP2|ATP/GTP binding protein-like 2
AGBL3	MGC32955|CCP3|ATP/GTP binding protein-like 3
AGBL4	FLJ14442|CCP6|ATP/GTP binding protein-like 4
AGBL5	FLJ21839|CCP5|ATP/GTP binding protein-like 5
AGER	RAGE|advanced glycosylation end product-specific receptor
AGFG1	RIP|RAB|ArfGAP with FG repeats 1
AGFG2	RABR|ArfGAP with FG repeats 2
AGGF1	VG5Q|HSU84971|FLJ10283|GPATC7|GPATCH7|angiogenic factor with G patch and FHA domains 1
AGK	FLJ10842|acylglycerol kinase
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
AGMAT	FLJ23384|agmatinase
AGMO	FLJ16237|alkylglycerol monooxygenase
AGO1	hAGO1|argonaute RISC catalytic component 1
AGO2	hAGO2|Q10|argonaute RISC catalytic component 2
AGO3	hAGO3|FLJ12765|argonaute RISC catalytic component 3
AGO4	hAGO4|KIAA1567|FLJ20033|argonaute RISC catalytic component 4
AGPAT1	LPAAT-alpha|1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2	LPAAT-beta|1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3	LPAAT-gamma|1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4	LPAAT-delta|dJ473J16.2|1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT5	FLJ11210|LPAAT-e|LPAAT-epsilon|1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS	ADHAPS|ADAS|ALDHPSY|ADPS|ADAP-S|alkylglycerone phosphate synthase
AGR2	XAG-2|HAG-2|AG2|PDIA17|anterior gradient 2, protein disulphide isomerase family member
AGR3	HAG3|hAG-3|BCMP11|PDIA18|anterior gradient 3, protein disulphide isomerase family member
AGRN	AGRIN|agrin
AGRP	Agrt|ART|ASIP2|agouti related neuropeptide
AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
AGTPBP1	KIAA1035|Nna1|CCP1|ATP/GTP binding protein 1
AGTR1	AT1|AT2R1|AGTR1A|AT2R1A|HAT1R|AG2S|AT2R1B|AT1B|angiotensin II receptor, type 1
AGTR2	AT2|MRX88|angiotensin II receptor, type 2
AGTRAP	ATRAP|angiotensin II receptor-associated protein
AGXT	AGXT1|PH1|AGT|SPT|AGT1|alanine-glyoxylate aminotransferase
AGXT2	AGT2|alanine--glyoxylate aminotransferase 2
AHCTF1	ELYS|AT hook containing transcription factor 1
AHCY	SAHH|adenosylhomocysteinase
AHCYL1	XPVKONA|IRBIT|PPP1R78|adenosylhomocysteinase-like 1
AHCYL2	KIAA0828|adenosylhomocysteinase-like 2
AHDC1	DJ159A19.3|RP1-159A19.1|AT hook, DNA binding motif, containing 1
AHI1	FLJ20069|ORF1|JBTS3|Abelson helper integration site 1
AHNAK	MGC5395|AHNAK nucleoprotein
AHNAK2	AHNAK nucleoprotein 2
AHR	bHLHe76|aryl hydrocarbon receptor
AHRR	KIAA1234|bHLHe77|aryl-hydrocarbon receptor repressor
AHSA1	p38|Aha1|AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
AHSA2	DKFZp564C236|Hch1|AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)
AHSG	FETUA|A2HS|HSGA|alpha-2-HS-glycoprotein
AHSP	EDRF|alpha hemoglobin stabilizing protein
AICDA	HIGM2|CDA2|ARP2|AID|activation-induced cytidine deaminase
AIDA	FLJ12806|axin interactor, dorsalization associated
AIF1	IRT-1|AIF-1|Em:AF129756.17|IBA1|allograft inflammatory factor 1
AIF1L	IBA2|FLJ12783|allograft inflammatory factor 1-like
AIFM1	AIF|CMTX4|apoptosis-inducing factor, mitochondrion-associated, 1
AIFM2	FLJ14497|PRG3|apoptosis-inducing factor, mitochondrion-associated, 2
AIFM3	AIFL|FLJ30473|apoptosis-inducing factor, mitochondrion-associated, 3
AIG1	dJ95L4.1|AIG-1|FLJ10485|androgen-induced 1
AIM1	CRYBG1|absent in melanoma 1
AIM1L	CRYBG2|FLJ38020|absent in melanoma 1-like
AIM2	PYHIN4|absent in melanoma 2
AIMP1	EMAPII|EMAP-2|p43|aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
AIMP2	p38|PRO0992|JTV-1|JTV1|aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
AIP	XAP2|ARA9|FKBP16|aryl hydrocarbon receptor interacting protein
AIPL1	aryl hydrocarbon receptor interacting protein-like 1
AIRE	PGA1|APS1|autoimmune regulator
AJAP1	SHREW1|SHREW-1|MOT8|adherens junctions associated protein 1
AJUBA	MGC15563|ajuba LIM protein
AK1	adenylate kinase 1
AK2	adenylate kinase 2
AK3	AKL3L1|adenylate kinase 3
AK4	adenylate kinase 4
AK5	adenylate kinase 5
AK6	CINAP|adenylate kinase 6
AK7	FLJ32864|adenylate kinase 7
AK8	FLJ32704|adenylate kinase 8
AK9	FLJ42177|FLJ25791|dJ70A9.1|MGC26954|adenylate kinase 9
AKAP1	AKAP121|AKAP149|SAKAP84|S-AKAP84|AKAP84|D-AKAP1|PPP1R43|TDRD17|A kinase (PRKA) anchor protein 1
AKAP10	D-AKAP2|PRKA10|MGC9414|A kinase (PRKA) anchor protein 10
AKAP11	KIAA0629|AKAP220|PRKA11|FLJ11304|DKFZp781I12161|PPP1R44|A kinase (PRKA) anchor protein 11
AKAP12	AKAP250|SSeCKS|A kinase (PRKA) anchor protein 12
AKAP13	Ht31|BRX|AKAP-Lbc|c-lbc|PROTO-LB|HA-3|ARHGEF13|A kinase (PRKA) anchor protein 13
AKAP14	AKAP28|A kinase (PRKA) anchor protein 14
AKAP17A	XE7|XE7Y|DXYS155E|MGC39904|721P|CCDC133|A kinase (PRKA) anchor protein 17A
AKAP2	AKAP-KL|KIAA0920|DKFZp564L0716|A kinase (PRKA) anchor protein 2
AKAP3	FSP95|SOB1|AKAP110|CT82|A kinase (PRKA) anchor protein 3
AKAP4	p82|hAKAP82|AKAP82|Fsc1|HI|CT99|A kinase (PRKA) anchor protein 4
AKAP5	AKAP75|AKAP79|A kinase (PRKA) anchor protein 5
AKAP6	KIAA0311|mAKAP|AKAP100|PRKA6|ADAP6|A kinase (PRKA) anchor protein 6
AKAP7	AKAP18|AKAP15|A kinase (PRKA) anchor protein 7
AKAP8	AKAP95|DKFZp586B1222|A kinase (PRKA) anchor protein 8
AKAP8L	NAKAP95|HAP95|A kinase (PRKA) anchor protein 8-like
AKAP9	KIAA0803|AKAP350|AKAP450|CG-NAP|YOTIAO|HYPERION|PRKA9|MU-RMS-40.16A|PPP1R45|LQT11|A kinase (PRKA) anchor protein 9
AKIP1	BCA3|A kinase (PRKA) interacting protein 1
AKIRIN1	FLJ12666|akirin 1
AKIRIN2	FLJ10342|dJ486L4.2|akirin 2
AKNA	KIAA1968|AT-hook transcription factor
AKNAD1	MGC26989|AKNA domain containing 1
AKR1A1	ALR|DD3|aldo-keto reductase family 1, member A1 (aldehyde reductase)
AKR1B1	AR|aldo-keto reductase family 1, member B1 (aldose reductase)
AKR1B10	AKR1B12|ARL-1|HIS|ARL1|HSI|ALDRLn|aldo-keto reductase family 1, member B10 (aldose reductase)
AKR1B15	aldo-keto reductase family 1, member B15
AKR1C1	DDH|MBAB|DD1|HAKRC|aldo-keto reductase family 1, member C1
AKR1C2	DD|BABP|DD2|HAKRD|MCDR2|aldo-keto reductase family 1, member C2
AKR1C3	KIAA0119|DDX|HAKRB|PGFS|aldo-keto reductase family 1, member C3
AKR1C4	DD4|HAKRA|C11|3-alpha-HSD|CDR|MGC22581|aldo-keto reductase family 1, member C4
AKR1D1	aldo-keto reductase family 1, member D1
AKR1E2	MGC10612|aldo-keto reductase family 1, member E2
AKR7A2	AFAR|aldo-keto reductase family 7, member A2
AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
AKR7L	AFAR3|aldo-keto reductase family 7-like (gene/pseudogene)
AKT1	RAC|PKB|PRKBA|AKT|v-akt murine thymoma viral oncogene homolog 1
AKT1S1	PRAS40|MGC2865|Lobe|AKT1 substrate 1 (proline rich)
AKT2	v-akt murine thymoma viral oncogene homolog 2
AKT3	PKBG|RAC-gamma|PRKBG|v-akt murine thymoma viral oncogene homolog 3
AKTIP	FLJ13258|AKT interacting protein
ALAD	ALADH|PBGS|aminolevulinate dehydratase
ALAS1	5'-aminolevulinate synthase 1
ALAS2	5'-aminolevulinate synthase 2
ALB	albumin
ALCAM	CD166|MEMD|activated leukocyte cell adhesion molecule
ALDH16A1	MGC10204|aldehyde dehydrogenase 16 family, member A1
ALDH18A1	P5CS|aldehyde dehydrogenase 18 family, member A1
ALDH1A1	RALDH1|aldehyde dehydrogenase 1 family, member A1
ALDH1A2	RALDH2|aldehyde dehydrogenase 1 family, member A2
ALDH1A3	RALDH3|aldehyde dehydrogenase 1 family, member A3
ALDH1B1	ALDHX|aldehyde dehydrogenase 1 family, member B1
ALDH1L1	10-fTHF|aldehyde dehydrogenase 1 family, member L1
ALDH1L2	FLJ38508|mtFDH|aldehyde dehydrogenase 1 family, member L2
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
ALDH3A1	aldehyde dehydrogenase 3 family, member A1
ALDH3A2	FALDH|aldehyde dehydrogenase 3 family, member A2
ALDH3B1	aldehyde dehydrogenase 3 family, member B1
ALDH3B2	aldehyde dehydrogenase 3 family, member B2
ALDH4A1	P5CDh|aldehyde dehydrogenase 4 family, member A1
ALDH5A1	SSADH|SSDH|aldehyde dehydrogenase 5 family, member A1
ALDH6A1	aldehyde dehydrogenase 6 family, member A1
ALDH7A1	EPD|PDE|aldehyde dehydrogenase 7 family, member A1
ALDH8A1	ALDH12|aldehyde dehydrogenase 8 family, member A1
ALDH9A1	E3|aldehyde dehydrogenase 9 family, member A1
ALDOA	aldolase A, fructose-bisphosphate
ALDOB	aldolase B, fructose-bisphosphate
ALDOC	aldolase C, fructose-bisphosphate
ALG1	HMT-1|HMAT1|ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG10	FLJ14751|DIE2|ALG10A|ALG10, alpha-1,2-glucosyltransferase
ALG10B	KCR1|ALG10B, alpha-1,2-glucosyltransferase
ALG11	KIAA0266|ALG11, alpha-1,2-mannosyltransferase
ALG12	ECM39|ALG12, alpha-1,6-mannosyltransferase
ALG13	MDS031|YGL047W|FLJ23018|TDRD13|ALG13, UDP-N-acetylglucosaminyltransferase subunit
ALG14	MGC19780|ALG14, UDP-N-acetylglucosaminyltransferase subunit
ALG1L	ALG1L1|ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like
ALG1L2	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like 2
ALG2	CDGIi|FLJ14511|hALPG2|NET38|ALG2, alpha-1,3/1,6-mannosyltransferase
ALG3	NOT56L|Not56|CDGS4|D16Ertd36e|ALG3, alpha-1,3- mannosyltransferase
ALG5	bA421P11.2|ALG5, dolichyl-phosphate beta-glucosyltransferase
ALG6	ALG6, alpha-1,3-glucosyltransferase
ALG8	MGC2840|ALG8, alpha-1,3-glucosyltransferase
ALG9	ALG9, alpha-1,2-mannosyltransferase
ALK	CD246|anaplastic lymphoma receptor tyrosine kinase
ALKBH1	hABH|alkB|ABH|alkB homolog 1, histone H2A dioxygenase
ALKBH2	MGC90512|ABH2|alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase
ALKBH3	DEPC-1|alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase
ALKBH4	FLJ20013|alkB homolog 4, lysine demthylase
ALKBH5	FLJ20308|alkB homolog 5, RNA demethylase
ALKBH6	MGC15677|alkB homolog 6
ALKBH7	MGC10974|alkB homolog 7
ALKBH8	MGC10235|TRM9|TRMT9|alkB homolog 8, tRNA methyltransferase
ALLC	ALC|allantoicase
ALMS1	KIAA0328|Alstrom syndrome protein 1
ALOX12	12S-LOX|arachidonate 12-lipoxygenase
ALOX12B	12R-LOX|arachidonate 12-lipoxygenase, 12R type
ALOX15	15-LOX-1|arachidonate 15-lipoxygenase
ALOX15B	15-LOX-2|arachidonate 15-lipoxygenase, type B
ALOX5	5-LOX|arachidonate 5-lipoxygenase
ALOX5AP	FLAP|arachidonate 5-lipoxygenase-activating protein
ALOXE3	eLOX3|E-LOX|arachidonate lipoxygenase 3
ALPI	alkaline phosphatase, intestinal
ALPK1	Lak|FLJ22670|KIAA1527|alpha-kinase 1
ALPK2	HAK|alpha-kinase 2
ALPK3	MAK|KIAA1330|Midori|alpha-kinase 3
ALPL	TNSALP|alkaline phosphatase, liver/bone/kidney
ALPP	alkaline phosphatase, placental
ALPPL2	alkaline phosphatase, placental like 2
ALS2	ALS2, alsin Rho guanine nucleotide exchange factor
ALS2CL	FLJ36525|RN49018|DKFZp686I0110|ALS2 C-terminal like
ALS2CR11	FLJ25351|amyotrophic lateral sclerosis 2 chromosome region, candidate 11
ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region, candidate 12
ALX1	ALX homeobox 1
ALX3	ALX homeobox 3
ALX4	FPP|PFM|KIAA1788|ALX homeobox 4
ALYREF	ALY|BEF|ALY/REF|REF|Aly/REF export factor
AMACR	RACE|alpha-methylacyl-CoA racemase
AMBN	ameloblastin (enamel matrix protein)
AMBP	UTI|HCP|EDC1|HI30|IATIL|ITILC|alpha-1-microglobulin/bikunin precursor
AMBRA1	FLJ20294|KIAA1736|WDR94|DCAF3|autophagy/beclin-1 regulator 1
AMD1	SAMDC|adenosylmethionine decarboxylase 1
AMDHD1	MGC35366|amidohydrolase domain containing 1
AMDHD2	CGI-14|amidohydrolase domain containing 2
AMELX	amelogenin, X-linked
AMELY	amelogenin, Y-linked
AMER1	RP11-403E24.2|FLJ39827|WTX|APC membrane recruitment protein 1
AMER2	FLJ25477|APC membrane recruitment protein 2
AMER3	FLJ38377|APC membrane recruitment protein 3
AMFR	RNF45|gp78|autocrine motility factor receptor, E3 ubiquitin protein ligase
AMH	MIS|anti-Mullerian hormone
AMHR2	MISR2|MISRII|anti-Mullerian hormone receptor, type II
AMICA1	Gm638|AMICA|adhesion molecule, interacts with CXADR antigen 1
AMIGO1	AMIGO|KIAA1163|adhesion molecule with Ig-like domain 1
AMIGO2	ALI1|DEGA|adhesion molecule with Ig-like domain 2
AMIGO3	adhesion molecule with Ig-like domain 3
AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1
AMMECR1L	MGC4268|AMMECR1 like
AMN	amnionless|amnion associated transmembrane protein
AMN1	antagonist of mitotic exit network 1 homolog
AMOT	KIAA1071|angiomotin
AMOTL1	JEAP|angiomotin like 1
AMOTL2	LCCP|angiomotin like 2
AMPD1	MAD|MADA|adenosine monophosphate deaminase 1
AMPD2	SPG63|adenosine monophosphate deaminase 2
AMPD3	adenosine monophosphate deaminase 3
AMPH	amphiphysin
AMT	GCST|NKH|aminomethyltransferase
AMTN	UNQ689|RSTI689|amelotin
AMY1A	amylase, alpha 1A (salivary)
AMY1B	amylase, alpha 1B (salivary)
AMY1C	amylase, alpha 1C (salivary)
AMY2A	amylase, alpha 2A (pancreatic)
AMY2B	amylase, alpha 2B (pancreatic)
AMZ1	KIAA1950|archaelysin family metallopeptidase 1
AMZ2	archaelysin family metallopeptidase 2
ANAPC1	MCPR|TSG24|APC1|anaphase promoting complex subunit 1
ANAPC10	APC10|DOC1|DKFZP564L0562|anaphase promoting complex subunit 10
ANAPC11	HSPC214|APC11|Apc11p|MGC882|anaphase promoting complex subunit 11
ANAPC13	SWM1|APC13|DKFZP566D193|anaphase promoting complex subunit 13
ANAPC15	HSPC020|DKFZP564M082|APC15|anaphase promoting complex subunit 15
ANAPC16	bA570G20.3|FLJ33728|APC16|CENP-27|anaphase promoting complex subunit 16
ANAPC2	APC2|KIAA1406|anaphase promoting complex subunit 2
ANAPC4	APC4|anaphase promoting complex subunit 4
ANAPC5	APC5|anaphase promoting complex subunit 5
ANAPC7	APC7|anaphase promoting complex subunit 7
ANG	RNASE5|RAA1|angiogenin, ribonuclease, RNase A family, 5
ANGEL1	Ccr4e|angel homolog 1 (Drosophila)
ANGEL2	KIAA0759L|FLJ12793|Ccr4d|angel homolog 2 (Drosophila)
ANGPT1	KIAA0003|Ang1|angiopoietin 1
ANGPT2	Ang2|angiopoietin 2
ANGPT4	angiopoietin 4
ANGPTL1	ANG3|AngY|ARP1|angiopoietin-like 1
ANGPTL2	ARP2|HARP|angiopoietin-like 2
ANGPTL3	angiopoietin-like 3
ANGPTL4	pp1158|PGAR|ARP4|HFARP|FIAF|NL2|angiopoietin-like 4
ANGPTL5	angiopoietin-like 5
ANGPTL6	ARP5|AGF|angiopoietin-like 6
ANGPTL7	CDT6|AngX|angiopoietin-like 7
ANGPTL8	TD26|RIFL|angiopoietin-like 8
ANHX	anomalous homeobox
ANK1	SPH1|ankyrin 1, erythrocytic
ANK2	ankyrin 2, neuronal
ANK3	ankyrin 3, node of Ranvier (ankyrin G)
ANKAR	FLJ25415|ankyrin and armadillo repeat containing
ANKDD1A	FLJ25870|ankyrin repeat and death domain containing 1A
ANKDD1B	ankyrin repeat and death domain containing 1B
ANKEF1	FLJ21669|dJ839B4.6|ankyrin repeat and EF-hand domain containing 1
ANKFN1	FLJ38335|ankyrin-repeat and fibronectin type III domain containing 1
ANKFY1	ANKHZN|KIAA1255|ZFYVE14|BTBD23|RANK-5|ankyrin repeat and FYVE domain containing 1
ANKH	HANK|ANK|CPPDD|ANKH inorganic pyrophosphate transport regulator
ANKHD1	MASK|FLJ20288|FLJ11979|FLJ10042|FLJ14127|KIAA1085|MASK1|ankyrin repeat and KH domain containing 1
ANKIB1	DKFZP434A0225|KIAA1386|ankyrin repeat and IBR domain containing 1
ANKK1	X-kinase|ankyrin repeat and kinase domain containing 1
ANKLE1	FLJ39369|LEMD6|ankyrin repeat and LEM domain containing 1
ANKLE2	LEMD7|Lem4|ankyrin repeat and LEM domain containing 2
ANKMY1	FLJ20499|ZMYND13|ankyrin repeat and MYND domain containing 1
ANKMY2	DKFZP564O043|ZMYND20|ankyrin repeat and MYND domain containing 2
ANKRA2	ankyrin repeat, family A (RFXANK-like), 2
ANKRD1	C-193|ALRP|CARP|CVARP|MCARP|ankyrin repeat domain 1 (cardiac muscle)
ANKRD10	FLJ20093|ankyrin repeat domain 10
ANKRD11	LZ16|T13|ankyrin repeat domain 11
ANKRD12	KIAA0874|FLJ20053|GAC-1|ankyrin repeat domain 12
ANKRD13A	NY-REN-25|ankyrin repeat domain 13A
ANKRD13B	FLJ25555|ankyrin repeat domain 13B
ANKRD13C	DKFZP566D1346|dJ677H15.3|ankyrin repeat domain 13C
ANKRD13D	ankyrin repeat domain 13 family, member D
ANKRD16	DKFZP434N1511|ankyrin repeat domain 16
ANKRD17	GTAR|KIAA0697|FLJ22206|NY-BR-16|MASK2|ankyrin repeat domain 17
ANKRD18A	KIAA2015|FLJ35740|ankyrin repeat domain 18A
ANKRD18B	bA255A11.3|ankyrin repeat domain 18B
ANKRD2	ARPP|ankyrin repeat domain 2 (stretch responsive muscle)
ANKRD20A1	DKFZp434A171|ankyrin repeat domain 20 family, member A1
ANKRD20A2	ankyrin repeat domain 20 family, member A2
ANKRD20A3	ankyrin repeat domain 20 family, member A3
ANKRD20A4	OTTHUMG00000066855|ankyrin repeat domain 20 family, member A4
ANKRD22	MGC22805|ankyrin repeat domain 22
ANKRD23	DARP|FLJ32449|MARP3|ankyrin repeat domain 23
ANKRD24	KIAA1981|ankyrin repeat domain 24
ANKRD26	KIAA1074|ankyrin repeat domain 26
ANKRD27	FLJ00040|DKFZp434L0718|VARP|ankyrin repeat domain 27 (VPS9 domain)
ANKRD28	KIAA0379|PITK|PP6-ARS-A|PPP1R65|ankyrin repeat domain 28
ANKRD29	FLJ25053|ankyrin repeat domain 29
ANKRD30A	NY-BR-1|ankyrin repeat domain 30A
ANKRD30B	NY-BR-1.1|ankyrin repeat domain 30B
ANKRD30BL	ankyrin repeat domain 30B-like
ANKRD31	FLJ40191|ankyrin repeat domain 31
ANKRD33	DKFZp686O1689|PANKY|ankyrin repeat domain 33
ANKRD33B	ankyrin repeat domain 33B
ANKRD34A	ankyrin repeat domain 34A
ANKRD34B	DP58|ankyrin repeat domain 34B
ANKRD34C	ankyrin repeat domain 34C
ANKRD35	FLJ25124|ankyrin repeat domain 35
ANKRD36	UNQ2430|ankyrin repeat domain 36
ANKRD36B	FLJ21281|ankyrin repeat domain 36B
ANKRD36C	DKFZp667P0924|ankyrin repeat domain 36C
ANKRD37	Lrp2bp|ankyrin repeat domain 37
ANKRD39	MGC41816|ankyrin repeat domain 39
ANKRD40	MGC15396|ankyrin repeat domain 40
ANKRD42	FLJ37874|SARP|PPP1R79|ankyrin repeat domain 42
ANKRD44	PP6-ARS-B|ankyrin repeat domain 44
ANKRD45	FLJ45235|CT117|ankyrin repeat domain 45
ANKRD46	ankyrin repeat domain 46
ANKRD49	FLJ20189|FGIF|GBIF|ankyrin repeat domain 49
ANKRD50	KIAA1223|ankyrin repeat domain 50
ANKRD52	FLJ34236|PP6-ARS-C|ankyrin repeat domain 52
ANKRD53	FLJ12056|FLJ36160|ankyrin repeat domain 53
ANKRD54	LIAR|ankyrin repeat domain 54
ANKRD55	FLJ11795|ankyrin repeat domain 55
ANKRD6	KIAA0957|ankyrin repeat domain 6
ANKRD60	bA196N14.3|ankyrin repeat domain 60
ANKRD61	ankyrin repeat domain 61
ANKRD62	DKFZp779B1634|ankyrin repeat domain 62
ANKRD63	ankyrin repeat domain 63
ANKRD65	ankyrin repeat domain 65
ANKRD66	ankyrin repeat domain 66
ANKRD7	TSA806|ankyrin repeat domain 7
ANKRD9	ankyrin repeat domain 9
ANKS1A	KIAA0229|ankyrin repeat and sterile alpha motif domain containing 1A
ANKS1B	EB-1|AIDA-1|cajalin-2|ANKS2|ankyrin repeat and sterile alpha motif domain containing 1B
ANKS3	KIAA1977|FLJ32345|FLJ32767|ankyrin repeat and sterile alpha motif domain containing 3
ANKS4B	FLJ38819|HARP|ankyrin repeat and sterile alpha motif domain containing 4B
ANKS6	FLJ36928|NPHP16|ankyrin repeat and sterile alpha motif domain containing 6
ANKUB1	ankyrin repeat and ubiquitin domain containing 1
ANKZF1	FLJ10415|ZNF744|ankyrin repeat and zinc finger domain containing 1
ANLN	ANILLIN|Scraps|scra|anillin actin binding protein
ANO1	TAOS2|FLJ10261|DOG1|anoctamin 1, calcium activated chloride channel
ANO10	FLJ10375|MGC47890|SCAR10|anoctamin 10
ANO2	anoctamin 2, calcium activated chloride channel
ANO3	GENX-3947|DYT23|anoctamin 3
ANO4	FLJ34221|FLJ34272|FLJ35277|anoctamin 4
ANO5	GDD1|anoctamin 5
ANO6	DKFZp313M0720|anoctamin 6
ANO7	NGEP|PCANAP5L|IPCA-5|anoctamin 7
ANO8	anoctamin 8
ANO9	PIG5|anoctamin 9
ANOS1	KALIG-1|WFDC19|anosmin 1
ANP32A	LANP|PP32|I1PP2A|PHAPI|MAPM|mapmodulin|acidic nuclear phosphoprotein 32 family member A
ANP32B	SSP29|PHAPI2|APRIL|acidic nuclear phosphoprotein 32 family member B
ANP32D	PP32R2|acidic nuclear phosphoprotein 32 family member D
ANP32E	LANPL|MGC5350|LANP-L|acidic nuclear phosphoprotein 32 family member E
ANPEP	LAP1|gp150|p150|alanyl (membrane) aminopeptidase
ANTXR1	TEM8|FLJ21776|FLJ10601|ATR|anthrax toxin receptor 1
ANTXR2	CMG2|CMG-2|FLJ31074|anthrax toxin receptor 2
ANTXRL	anthrax toxin receptor-like
ANXA1	annexin A1
ANXA10	ANX14|annexin A10
ANXA11	annexin A11
ANXA13	annexin A13
ANXA2	LIP2|annexin A2
ANXA2R	AXIIR|annexin A2 receptor
ANXA3	annexin A3
ANXA4	annexin A4
ANXA5	annexin A5
ANXA6	annexin A6
ANXA7	annexin A7
ANXA8	annexin A8
ANXA8L1	bA301J7.3|bA145E20.2|annexin A8-like 1
ANXA9	annexin A9
AOAH	acyloxyacyl hydrolase (neutrophil)
AOC1	DAO|amine oxidase, copper containing 1
AOC2	RAO|DAO2|amine oxidase, copper containing 2 (retina-specific)
AOC3	VAP1|HPAO|VAP-1|amine oxidase, copper containing 3
AOX1	AO|AOH1|aldehyde oxidase 1
AP1AR	PRO0971|2C18|gamma-BAR|adaptor-related protein complex 1 associated regulatory protein
AP1B1	BAM22|AP105A|adaptor-related protein complex 1, beta 1 subunit
AP1G1	adaptor-related protein complex 1, gamma 1 subunit
AP1G2	G2AD|adaptor-related protein complex 1, gamma 2 subunit
AP1M1	AP47|CLAPM2|adaptor-related protein complex 1, mu 1 subunit
AP1M2	HSMU1B|mu2|AP1-mu2|adaptor-related protein complex 1, mu 2 subunit
AP1S1	AP19|SIGMA1A|WUGSC:H_DJ0747G18.2|adaptor-related protein complex 1 sigma 1 subunit
AP1S2	SIGMA1B|adaptor-related protein complex 1 sigma 2 subunit
AP1S3	adaptor-related protein complex 1 sigma 3 subunit
AP2A1	adaptor-related protein complex 2, alpha 1 subunit
AP2A2	DKFZP564D1864|HYPJ|KIAA0899|HIP9|adaptor-related protein complex 2, alpha 2 subunit
AP2B1	adaptor-related protein complex 2, beta 1 subunit
AP2M1	AP50|mu2|adaptor-related protein complex 2, mu 1 subunit
AP2S1	FBHOk|FBH3|adaptor-related protein complex 2 sigma 1 subunit
AP3B1	ADTB3A|HPS2|adaptor-related protein complex 3, beta 1 subunit
AP3B2	NAPTB|adaptor-related protein complex 3, beta 2 subunit
AP3D1	ADTD|adaptor-related protein complex 3, delta 1 subunit
AP3M1	adaptor-related protein complex 3, mu 1 subunit
AP3M2	CLA20|AP47B|adaptor-related protein complex 3, mu 2 subunit
AP3S1	adaptor-related protein complex 3, sigma 1 subunit
AP3S2	sigma3b|adaptor-related protein complex 3, sigma 2 subunit
AP4B1	BETA-4|adaptor-related protein complex 4, beta 1 subunit
AP4E1	AP-4-EPSILON|SPG51|adaptor-related protein complex 4, epsilon 1 subunit
AP4M1	MU-ARP2|MU-4|SPG50|adaptor-related protein complex 4, mu 1 subunit
AP4S1	CLA20|AP47B|SPG52|adaptor-related protein complex 4, sigma 1 subunit
AP5B1	PP1030|AP-5|DKFZp761E198|adaptor-related protein complex 5, beta 1 subunit
AP5M1	FLJ10813|MuD|mu5|adaptor-related protein complex 5, mu 1 subunit
AP5S1	FLJ11168|adaptor-related protein complex 5, sigma 1 subunit
AP5Z1	SPG48|zeta|adaptor-related protein complex 5, zeta 1 subunit
APAF1	CED4|APAF-1|apoptotic peptidase activating factor 1
APBA1	D9S411E|X11|amyloid beta (A4) precursor protein-binding, family A, member 1
APBA2	D15S1518E|LIN-10|MGC:14091|HsT16821|amyloid beta (A4) precursor protein-binding, family A, member 2
