NoCell	NoD@ NA
C57BL6J|Mouse e11.5 Embryonic Cortex|Embryonic Cortex|Embryonic Day e11.5	Emb@ Embryonic brains
C57BL/6|cultured cerebellar granule neurons|cultured cerebellar granule neurons|GNP + 7DIV	Neu@ Cerebellar granule neurons
hematopoietic stem and progenitor cells from E14.5 foetal liver	Emb@ Embryobic liver
C57Bl/6 (H2b) background|WT T-cells|T-cells	Bld@ T-Lymphocytes
WEHI-279 mouse lymphoma cells	Bld@ WEHI-279
C57BL/6J-Tg(GOFGFP)11Imeg/Rbrc(OG)|mouse embryonic fibroblasts	EmF@ MEF
EpiSC9|Epiblast stem cells	PSC@ EpiSC
129S1 X 129S1|SV40T transformed fibroblasts|Xist transgenic (X+P) cells	EmF@ MEF
CD1|Mouse embryonic day 11.5 (e11.5) limb|limb|e11.5	Emb@ Embryonic limb
C57BL/6J genetic background|mouse hippocampus|mouse hippocampus	Neu@ Hippocampus
SclKO J1 mESC|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells|SclKO ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	PSC@ mESC derived mesodermal cells
WT J1 mESC|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells|WT ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	PSC@ mESC derived mesodermal cells
ICR|E12.5 Neural Tube|E12.5	Emb@ Neural tube
embryoid bodies|ESC induced to differentiate by the Hanging Drop Method, LIF removal for 8 days	PSC@ mESC, differentiated
V6.5 + dCas9|C57BL/6-129|embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
naive CD4 T cells|splenic naive CD4 T cells|spleen	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|CD4+ T cells|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
MLL-AF9/NrasG12D AML cell line|MLL-AF9/NrasG12D murine cell line	Bld@ MLL-AF9 leukemic cell
C57BL/6|Embryonic stem cells	PSC@ Embryonic Stem Cells
Embryonic Stem Cells|Embryonic Stem Cells (ESCs)	PSC@ Embryonic Stem Cells
C57BL/ 6 female and a CBA male|TT2|mES	PSC@ Embryonic Stem Cells
d7|F2: 129S1/CastEiJ x 129S1|Differentiating mouse embryonic stem cell line|differentiating embryonic stem cell line	PSC@ Embryonic Stem Cells
C57/BL6|Input, liver cells|liver	Liv@ Liver
CD-1|Mouse back skins|integrin 6 and CD34	Epd@ Dermal fibroblasts
CD43 negative mouse resting B cells|CD43 negative mouse resting B cells|spleen|adult	Bld@ B-Lymphocytes
129/C57BL/6|Mouse embryonic day 11.5 (e11.5) hindbrain|hindbrain|e11.5	Emb@ Embryonic brains
C2C12 cell-line|C2C12 myoblasts|Myoblast (MB)	Myo@ C2C12
C2C12|Mouse myoblast cell line (established from thigh muscle from an adult C3H strain female)	Myo@ C2C12
C57BL/6|Round spermatids|Round spermatids	Gon@ Spermatids
129/Ola|Embryonic stem cells (E14)|Embryonic stem cells (E14)	PSC@ Embryonic Stem Cells
ES cells|C57BL/6-ICR	PSC@ Embryonic Stem Cells
Liver|C57BL/6|Liver|Liver|Embryonic day 14.5	Emb@ Embryobic liver
C57BL/6J|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper2 cells for 7 days	Bld@ CD4-Positive T-Lymphocytes
C57BL/6/SV129|Gr1dim Mac1+ granulocytic progenitor cells|Bone marrow derived Gr1dim Mac1+ granulocytic progenitor cells	Bld@ Granulocytes
Embryonic Fibroblasts|Embryonic Fibroblasts	EmF@ MEF
mixed background|fresh Six2-expressing cells|nephron progenitor|E16.5	Emb@ Embryonic kidney
C57BL/6|E11.5 Embryo Trunk|embryo trunk|embryonic day 11.5	Emb@ Embryonic trunk
Quiescent B cells, lipopolysaccharide (LPS) treatment for 4hrs|Quiescent B cells|spleen	Bld@ B-Lymphocytes
C57BL/6 (female) x 129/S (male)|murine embryonic stem cells|mES	PSC@ Embryonic Stem Cells
V19-OSKM|Mouse V19-OSKM Fibroblast, Utx-/Y	PSC@ iPS cells
C57BL/6|Mll3/ MEF|Mll3/ MEF	EmF@ MEF
C57BL/6|Wild Type MEF|Wild Type MEF	EmF@ MEF
ES-EP|ES-cell derived erythroid progenitors|ES-cell derived erythroid progenitors	PSC@ mESC derived haematopoietic progenitor
C57Bl/6|Mouse placenta	Plc@ Placenta
C57Bl/6|Mouse olfactory bulb	Oth@ Olfactory epithelium
C57Bl/6|Mouse intestine	Dig@ Intestines
C57Bl/6|Mouse E14.5 liver	Emb@ Embryobic liver
C57Bl/6|Mouse E14.5 limb	Emb@ Embryonic limb
C57Bl/6|Mouse E14.5 heart	Emb@ Embryonic heart
C57Bl/6|Mouse E14.5 brain	Emb@ Embryonic brains
C57Bl/6|Mouse embryonic fibroblast	EmF@ MEF
C57Bl/6|Mouse cerebellum	Neu@ Cerebellum
C57Bl/6|Mouse bone marrow	Bld@ Bone Marrow Cells
C57BL6-STAT4&lt;tm1&gt; (STAT4KO)|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper1 cells for 7 days	Bld@ CD4-Positive T-Lymphocytes
C3H|C2C12 myotube|C2C12 myotube	Myo@ C2C12
C3H|C2C12 myoblast|C2C12 myoblast	Myo@ C2C12
Neural progenitor cells|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
C57BL/6|primary myotubes|myotubes induced from wild type mouse fetal (E18.5) primary myoblasts	Emb@ Embryonic myoblast
mouse Ik knockout DP thymocytes|DP thymocytes|pre-leukemic stage II	Bld@ CD4 CD8 double positive cells
C3H|C2C12 myoblasts|48-hours differentiated Myotubes	Myo@ C2C12
C3H|C2C12 myoblasts|Proliferating Myoblasts	Myo@ C2C12
G1ME|Megakaryocyte Progenitor Cell Line (G1ME)|Progenitor, GATA1-null	Bld@ G1ME
V6.5|Embryonic stem cells	PSC@ Embryonic Stem Cells
BayGenomics gene trap line XG122|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
ZHBTc4 ES cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|Dendritic Cell in Spleen|Dendritic Cell	Bld@ Dendritic Cells
E14Tg2A|Mouse ES cells|mouse ES cells	PSC@ Embryonic Stem Cells
129/SvJ x C57/B6 hybrid|Uninduced MEFs|secondary, inducible MEFs	EmF@ MEF
thioglycollate-elicited peritoneal macrophages|macrophage	Bld@ Macrophages
E14 TG2A mouse embryonic stem cells|E14 TG2A mouse embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6-129|Mouse embryonic fibroblasts|MEF	EmF@ MEF
Hematopoietic stem and progenitor cells|Bone marrow isolated	Bld@ Hematopoietic Stem Cells
ES-cell derived erythroid progenitors	PSC@ mESC derived haematopoietic progenitor
Mouse embryonic fibroblast|Mouse embryonic fibroblast	EmF@ MEF
C57BL/6|liver hepatocytes	Liv@ Hepatocytes
C57BL/6|Double positive cells|Double-positive cells	Bld@ CD4 CD8 double positive cells
C57BL/6  H3.2-HA / H3.3B|Embryonic stem cells|C6 embryonic stem cells	PSC@ Embryonic Stem Cells
Embryonic stem cells|F1 hybrid 965 embryonic stem cells	PSC@ Embryonic Stem Cells
Dendritic cells|Dendritic cells|N/A|N/A|N/A	Bld@ Dendritic Cells
Dendritic cells (Cd11c+ sorted)|N/A|N/A|N/A	Bld@ Dendritic Cells
C57BL/6|liver|liver	Liv@ Liver
C57BL/6|whole heart	CDV@ Heart
C57Bl/6|Mouse thymus	Oth@ Thymus
C57Bl/6|Mouse testis	Gon@ Testis
C57Bl/6|Mouse cortex	Neu@ Cerebellar Cortex
P19EC|epiblast	PSC@ P19
AtT20|AtT20 cells	Neu@ AtT-20
C57BL/6|Neutrophils|Neutrophils|Bone marrow	Bld@ Neutrophils
C57BL6/J|Microglia	Neu@ Microglia
activated B cell|spleen	Bld@ B-Lymphocytes
NIH3T3|NIH/Swiss|fibroblasts|fibroblast	EmF@ NIH/3T3
liver|liver	Liv@ Liver
129TF	Oth@ Tail fibroblast
MBD3flox/- iPSC	PSC@ iPS cells
CD1|Neurospheres|neurosphere	Neu@ Neurospheres
C57BL/6|thymus	Oth@ Thymus
spleen|CD4+	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|thymocyte|thymocyte	Bld@ Thymocytes
ESCs|ESCs	PSC@ Embryonic Stem Cells
RA-treated ESCs|ESCs	PSC@ mESC derived neural cells
mIMCD3|mIMCD3	Kid@ mIMCD-3
C3H/Pgk*129|ES-cells	PSC@ Embryonic Stem Cells
3T3-L1|pre-adipocyte	EmF@ 3T3-L1
N/A|to be provided|N/A|N/A|n/a	Unc@ Unclassified
Th1 cells|N/A|N/A|N/A	Bld@ Th1
MBD3-/- ES	PSC@ Embryonic Stem Cells
MBD3flox/- 8 days after dox induction	PSC@ iPS cells
GATA1 null erythroblasts|GATA1 null erythroblasts	Bld@ Erythroblasts
C57BL/6|Kupffer cells|Kupffer cells|Liver	Liv@ Kupffer Cells
Myf5Cre-Prdm16(fl/fl) C57Bl6|Prdm16 Knockout BAT|Brown adipose tissue	Adp@ Brown adipocytes
C57BL/6|Spleen and lymph nodes	Unc@ Unclassified
WT ESC	PSC@ Embryonic Stem Cells
RA-treated Mutant ESC	PSC@ mESC derived neural cells
Mutant ESC	PSC@ Embryonic Stem Cells
C57BL6/J|bone marrow derived macrophages	Bld@ Macrophages
C57BL6J|Mouse e14.5 Embryonic Cortex|Embryonic Cortex|Embryonic Day e14.5	Emb@ Embryonic brains
C57BL/6|B cells|B cells	Bld@ B-Lymphocytes
Doxycycline treated iER71, ES cell|embryonic stem cell	PSC@ Embryonic Stem Cells
mixed C57BL/6 CD1|WT_Retinoic acid treated ES cells|Retinoic acid treated ES cells	PSC@ mESC derived neural cells
C57Bl/6|In vitro activated CD8 T cells|CD8+ T cells	Bld@ CD8-Positive T-Lymphocytes
Embryonic Stem cells|Embryonic Stem cells	PSC@ Embryonic Stem Cells
129S1 X 129S1|SV40T transformed fibroblasts|ATRX Knock down (shATRX) Xist transgenic (X+P) cells	EmF@ MEF
CGR8|mouse ESCs|Undifferentiated mouse ESCs	PSC@ Embryonic Stem Cells
CH12|activated CH12|murine B cell lymphoma cell line	Bld@ CH12
CH12|splenic B cells|Switchable IgM+IgA+ murine CH12-F3 Ly-1+ B cell lymphoma line was maintained and passaged every 2 days in RPMI 1640 supplemented with 10% FBS (ATCC), 1% penicillin/streptomycin (Invitrogen), 55 uM 2-b mercaptoethanol (Invitrogen). All cells were maintained at 37C and 5% CO2 in a humidified incubator. Aicda enhancer E2 was deleted using TALENs approach.	Bld@ CH12
Mouse embryonic fibroblasts|embryonic fibroblasts	EmF@ MEF
C57BL/6|Intestinal crypt secretory progenitors	Dig@ Crypt
C57BL6|Nave CD4+ T cells|Spleen	Bld@ CD4-Positive T-Lymphocytes
E14 129P2/OlaHsd|Undifferentiated mouse ES cells|mouse ES cells	PSC@ Embryonic Stem Cells
CD4+ CD8+ Double Positive Thymocytes|CD4+ CD8+ Double Positive Thymocytes	Bld@ CD4 CD8 double positive cells
B6|DPdouble positive thymocytes derived from  in vitro expanded bone marrow cells transduced with Nup98-HoxB4, grown with IL7 and DLL4 (Notch signaling) and injected into Rag2-/- mouse|double positive thymocytes derived from  in vitro expanded bone marrow cells transduced with Nup98-HoxB4, grown with IL7 and DLL4 (Notch signaling) and injected into Rag2-/- mouse	Bld@ Bone Marrow Cells
B6|ProT in vitro expanded bone marrow cells transduced with Nup98-HoxB4 and grown with IL7 and DLL4 (Notch signaling)|in vitro expanded bone marrow cells transduced with Nup98-HoxB4 and grown with IL7 and DLL4 (Notch signaling)	Bld@ Bone Marrow Cells
B6|HSC in vitro expanded bone marrow cells transduced with Nup98-HoxB4|in vitro expanded bone marrow cells transduced with Nup98-HoxB4	Bld@ Hematopoietic Stem Cells
ICR|E12.5 Neural Tube|Neural Tube|E12.5	Emb@ Neural tube
WT J1 mESC|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells|Flk1+ mesodermal cells	PSC@ mESC derived mesodermal cells
embryonic stem cells	PSC@ Embryonic Stem Cells
Ctnnb1-Biotin-3xFLAG knock-in V6.5 ESC line|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
129/c57 mixed background|Reconstitute Flag tag MEF cell|mouse embryonic fibroblasts cell (reconsitute with H2A.X-Flag)	EmF@ MEF
129Sv/C57 mixed background|ES cell|mouse ES cell	PSC@ Embryonic Stem Cells
C57Bl/6 H3.3B-KO|Embryonic stem cells	PSC@ Embryonic Stem Cells
C57Bl/6 H3.3B-HA|Embryonic stem cells	PSC@ Embryonic Stem Cells
CD1|Immature granulocytes|Immature granulocytes|liver	Bld@ Granulocytes
C3H10T1/2 mouse cells|C3H10T1/2 cells	EmF@ C3H/10T1/2
adipocytes differentiated from C3H10T1/2 mouse cells|adipocytes differentiated from C3H10T1/2 cells	EmF@ C3H/10T1/2
Primary bone marrow-derived macrophages, no treatment, PU.1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, no treatment, H3K27ac ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
B-cell_(CD43-)|C57BL/6|B-cell_(CD43-)|mouse spleen B cells, CD43-,CD11b-|Adult 8 weeks	Brs@ Mammary stem cells
ZhBTc4|129/Ola|ZhBTc4|Undifferentiated mouse embryonic stem cells|Embryonic day 0 (stem cell)	PSC@ ZHBTc4
Heart|C57BL/6|Heart|Heart|Embryonic day 14.5	Emb@ Embryonic heart
Placenta|C57BL/6|Placenta|Placenta|Adult 8 weeks	Plc@ Placenta
BAT|C57BL/6|BAT|Brown adipocytes tissue|Adult 24 weeks	Adp@ Brown adipocytes
multipotent progenitor|Tcf3(E2A) deficient pre-pro-B	Bld@ B-Lymphocytes
(CBA/CaJ X C57BL/6J)F16+ X Hsd:ICR(CD-1)|FACS-purified Pou5f1-GFP-positive germ cells|Embryonic day 11.5 gonad	Emb@ Embryonic gonad
CD1 outbred mice|liver|liver	Liv@ Liver
mouse Ik knockout DP thymocytes|DP thymocytes|pre-leukemic stage I	Bld@ CD4 CD8 double positive cells
EML cells|Lin-SCA+CD34+ cells	Bld@ EML 
CD1|Ter119+ cells|Mouse fetal liver cells with the late erythroid differentiation marker Ter119; primary erythroblasts	Bld@ Erythroblasts
Control liver|liver	Liv@ Liver
Mouse Embryonic Fibroblasts with Dox-inducible Klf4, Sox2 and Oct4 (KSO)|Secondary	PSC@ iPS cells
proB cells|CD19+ proB cells	Bld@ B-Lymphocytes
Whole Liver|perfused Whole Liver	Liv@ Liver
129S6/SvEv|Embryonic stem cells|MC1R(20):tetMyod1(14) embryonic stem cells	PSC@ Embryonic Stem Cells
C2C12 myoblasts|myoblast|C2C12 cell line	Myo@ C2C12
C57BL/6|E2A-/- pre-pro-B cell|pre-pro-B cell	Bld@ B-Lymphocytes
C57BL/6J (wild type)|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper2 cells for 7 days	Bld@ CD4-Positive T-Lymphocytes
Murine erythroleukemia (MEL) cells stably transfected with Gata-1 fused to ER	Bld@ MEL
Total thymocytes|total thymocytes	Bld@ Thymocytes
embryonic fibroblast	EmF@ MEF
C57Bl/6 background Lgr5-EGFP-ires-CreERT2|differentiated intestinal epithelium|small intestine|adult	Dig@ Intestines
endoderm/hepatic progenitor cell	PSC@ mESC derived endoodermal cells
RA-treated WT ESC	PSC@ Embryonic Stem Cells
muscle|adult	Myo@ Muscle, Skeletal
C57BL/6|pancreas|Pancreas	Pan@ Pancreas
MBD3flox/- MEF	EmF@ MEF
ICR|Forelimb|Forelimb|E12.5	Emb@ Embryonic limb
C57BL/6|E8.5 head|head	Emb@ Embryonic brains
C57BL/6|Th1|Th1	Bld@ Th1
Pro-B|Bone Marrow	Bld@ B-Lymphocytes
C57BL/6J|uterus|uterus	Utr@ Uterus
C57BL/6|FLDN2a|Fetal liver precursor derived DN2a	Bld@ CD4 CD8 double negative cells
ventral midbrain|embryonic day 12.5	Emb@ Embryonic brains
C57BL/6|Frontal Cortex	Neu@ Frontal cortex
WT 8 days after dox induction	Unc@ Unclassified
129/Ola|ESC differentiated day 2 cells|ESC differentiated cells	PSC@ mESC, differentiated
C57Bl/6 background|Satellite cells|proliferating satellite cells	Myo@ Satellite Cells, Skeletal Muscle
C57BL/6|Spleen red pulp macrophages|Spleen red pulp macrophages|Spleen	Bld@ Macrophages
C57BL/6|Kupffer cells with CD45.1 mark|Kupffer cells with CD45.1 mark|Liver	Liv@ Kupffer Cells
C57BL/6|Spleen red pulp macrophages with CD45.1 mark|Spleen red pulp macrophages with CD45.1 mark|Spleen	Bld@ Macrophages
C57BL/6|Peritoneal cavity macrophages with CD45.1 mark|Peritoneal cavity macrophages with CD45.1 mark|Peritoneal cavity	Bld@ Macrophages
MC3T3-E1|MC3T3-E1 (pre-osteoblast)|pre-osteoblast	Bon@ MC3T3-E1
SPRET/EiJ|large peritoneal macrophages	Bld@ Macrophages
NOD/ShiLtJ|large peritoneal macrophages	Bld@ Macrophages
C57BL/6|GM-CSF treated myeloid cells|Myeloid cells|Bone marrow	Bld@ Myeloid Cells
K14-H2BGFP (Tumbar et al., 2004)|Mouse back skins|TACs|back skin|GFP, integrin 6, CD34 and Sca1	Epd@ Epidermis
CD-1|Mouse back skins|HFSCs|back skin|integrin 6, CD34 and Sca1	Epd@ Epidermis
WSBxPWD F1 Hybrid|spermatocytes|spermatocyte	Gon@ Spermatocytes
CASTxB6 F1 Hybrid|spermatocytes|spermatocyte	Gon@ Spermatocytes
B6xCAST F1 Hybrid|spermatocytes|spermatocyte	Gon@ Spermatocytes
C57BL/6J|6-OHDA lesioned striatum, L-DOPA injected|striatum	Neu@ Corpus Striatum
C57BL/6|H3f3b null testis tissue|Adult Mouse Testis tissue	Gon@ Testis
C57BL/6|H3f3b WT/WT testis tissue|Adult Mouse Testis tissue	Gon@ Testis
Neural Progenitors|iNPC-derived from fibroblasts-clone 13F	Neu@ Induced neural progenitors
C57BL/6|Common Lymphoid Progenitor (CLP)|Common Lymphoid Progenitor (CLP)	Bld@ Lymphoid cells
C57BL/6|T CD8+ cells|T CD8+ cells	Bld@ CD8-Positive T-Lymphocytes
C57BL/6|T CD4+ cells|T CD4+ cells	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|Megakaryocitic erythroyd progenitor (MEP)|Megakaryocitic erythroyd progenitor (MEP)	Bld@ Megakaryocytes
C57BL/6|Granulocyte Monocyte Progenitor (GMP)|Granulocyte Monocyte Progenitor (GMP)	Bld@ Monocytes
C57BL/6|Common Myeloid Progenitor (CMP)|Common Myeloid Progenitor (CMP)	Bld@ Myeloid Cells
C57BL/6|Multipotent Progenitor (MPP)|Multipotent Progenitor (MPP)	Bld@ Hematopoietic Stem Cells
C57BL/6|Short Term Hematopoietic Stem Cell (ST-HSC)|Short Term Hematopoietic Stem Cell (ST-HSC)	Bld@ Hematopoietic Stem Cells
C57BL/6|Long Term Hematopoietic Stem Cell (LT-HSC)|Long Term Hematopoietic Stem Cell (LT-HSC)	Bld@ Hematopoietic Stem Cells
miwi2KO_GermCellsTestis_MACS_inputDNA|testicular germ cells, MACS-sorted	Gon@ Testicular germ cells
miwi2HET_GermCellsTestis_MACS_inputDNA|testicular germ cells, MACS-sorted	Gon@ Testicular germ cells
mixed C57BL/6 CD1|KO_Retinoic acid treated ES cells|Retinoic acid treated ES cells	PSC@ mESC derived neural cells
Hoxa9/Meis1-transformed HSCs_ChIP-seq|hematopoietic progenitor cells|bone marrow	Bld@ Hematopoietic Stem Cells
mixed genetic background (C57Bl6 crossed with B6DBA/F1)|Microdissected developing kidneys|E18.5	Emb@ Embryonic kidney
129 X C57bl/6|Embryonic Stem Cells|HA-MacroH2A2 inducible mouseES (KH2) cells	PSC@ Embryonic Stem Cells
Neural Progenitor Cells|R1 ES cell derived neural progenitor cells	PSC@ mESC derived neural cells
Mouse Embryonic Fibroblasts|Mouse Embryonic Fibroblasts	EmF@ MEF
129S1/CastEiJ x 129S1|SV40T transformed fibroblasts|transformed embryonic fibroblasts (MEF)	EmF@ MEF
F2: 129S1/CastEiJ x 129S1|Day 7 differentiated mouse embryonic stem cells|Day 7 differentiated mouse embryonic stem cells	PSC@ mESCs, differentiated
F2: 129S1/CastEiJ x 129S1|Undifferentiated mouse embryonic stem cells|Undifferentiated mouse embryonic stem cells	PSC@ Embryonic Stem Cells
129P2/Ola|embryonic stem cells|mouse embryonic stem cells|blastocyst, E3.5	PSC@ Embryonic Stem Cells
129/Ola|E14Tg2a ES Cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|whole heart|whole heart	CDV@ Heart
p30-GMP-blast cells, from pool of Biological repl_I_II_III, CEBPA ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
NMRI|limb bud, hearts, branchial arches|E10.5	Emb@ Embryonic limb
Py2T, breast cancer cells|Py2T breast cancer cells	Brs@ Py2T
CD1 x C57BL/6|Cultured germline stem cells|Cultured germline stem cells	Gon@ Spermatogonia
D3|ES cell derived Mesoendoderm Cells	PSC@ mESC derived mesodermal cells
961C cell line|C57BL/6|961C cell line|NUP98-PHF23 AML derived cell line|NUP98-PHF23 AML derived cell line, mouse 961	Bld@ Leukemia, Myeloid
C57BL/6 x 129Sv (F1)|primary CBP null MEF (e14.5)	EmF@ MEF
C57BL/6 x 129Sv (F1)|primary wild type MEF (e14.5)	EmF@ MEF
C57BL/6|BMM_LPS_0060_P50|primary murine bone marrow macrophage cells (BMMs)	Bld@ Macrophages
pancreatic beta cells|Established from islets of 6 weeks old RIP1-Tag2 transgenic mice	Pan@ Pancreatic beta cells
D3 Embryonic Stem Cells|Embryonic Stem Cells	PSC@ Embryonic Stem Cells
129/Ola|ZHBTc4-TS cells	PSC@ ZHBTc4
R1 ES cell|shKdm5b noLIF day4 ES cells	PSC@ mESCs, differentiated
R1 ES cell|shLuc noLIF day4 ES cells	PSC@ mESCs, differentiated
R1 ES cell|shKdm5b noLIF day3 ES cells	PSC@ mESCs, differentiated
R1 ES cell|shLuc noLIF day3 ES cells	PSC@ mESCs, differentiated
R1 ES cell|shKdm5b noLIF day2 ES cells	PSC@ mESCs, differentiated
R1 ES cell|shLuc noLIF day2 ES cells	PSC@ mESCs, differentiated
C57BL/6|mouse embryo fibroblasts (MEF)|mouse embryonic fibroblast	EmF@ MEF
Embryonic fibroblasts|Embryonic fibroblasts	EmF@ MEF
iMN-ESCs|inducible motor neuron ES cells	PSC@ mESC derived neural cells
C2C12|Menin_myoblasts|Growing C1C12 myoblasts	Myo@ C2C12
mouse brown preadipocytes, MLL4 KO, input|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, input|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, MLL4 KO, MLL4 ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
mouse brown preadipocytes, WT, MLL4 ChIP|immortalized brown preadipocytes	Adp@ Brown preadipocytes
C57BL/6|T cells|T cells|Spleen	Bld@ T-Lymphocytes
C57BL6|Pancreatic acinar cells	Pan@ Pancreatic acinar cells
CD-1|Mouse back skins|Telogen quiescent hair follicle stem cells (HFSCs)|telogen back skin|integrin 6 and CD34	Epd@ Hair Follicle
C57BL/6|Bone marrow derived macrophages|Macrophage	Bld@ Macrophages
C57BL/6|Embryonic stem cell culture|embryonic stem cells	PSC@ Embryonic Stem Cells
E14|ESC E14|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
F9|F9_RBPJ_ChIP-seq|murine embryonic carcinoma cells; testicular teratoma	PSC@ F9
C57BL/6 cebpa flox/flox;Mx1Cre|Haematopoietic progenitor cells|preGM_CebpaKO	Bld@ Hematopoietic Stem Cells
C57BL/6 cebpa flox/flox|Haematopoietic progenitor cells|preGM_CebpaWT	Bld@ Hematopoietic Stem Cells
non-induced C88 MEL cells|Murine erythroleukemia (MEL) cells	Bld@ MEL
129/C57BL/6|Mouse embryonic day 11.5 (e11.5) face|face|e11.5	Emb@ Embryonic face
7438 cells|3617 cells expressing ER DBD mutant|mouse mammary cells (express GFP-GR and Cherry-ER which has been mutated in its DNA binding domain - under a tet regulated promoter)	Brs@ 7438
mixed C57Bl/6/129sv|T29 cells|T29 cells	Bld@ T29
RAW macrophages|biotinylated RevErba expressing RAW macrophages	Bld@ RAW 264.7
pachynema cells	Unc@ Unclassified
129SvEv/CD1|STHdhQ7|Embyronic E14 striatal derived	Emb@ Embryonic brains
FVB/N|Mammary stem cells	Brs@ Mammary stem cells
FVB/N|mammary gland|Mature luminal cells	Brs@ Mammary glands
C57BL/6-129|ZHBTc4 ES cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
a mix of C57BL/6 and 129|primary pre-B cell|primary pre-B cell|Fetal liver	Bld@ B-Lymphocytes
129/c57 mixed background|MEF cell|mouse primary embryonic fibroblasts cell	EmF@ MEF
129Sv/C57 mixed background|iPS cell from TTF cell|mouse secondary system derived iPS cell	PSC@ iPS cells
129Sv/C57 mixed background|iPS cell from PF cell|mouse secondary system derived iPS cell	PSC@ iPS cells
CD1|Immature Erythroid|Immature Erythroid|liver	Bld@ Erythroblasts
ICR|embryonic hindlimb|embryonic hindlimb bud	Emb@ Embryonic limb
E14|inbred 129|Kdm2b knockdown mouse ES cells|embryonbic stem cells	PSC@ Embryonic Stem Cells
E14|inbred 129|Control mouse ES cells|embryonbic stem cells	PSC@ Embryonic Stem Cells
129/SvJ|Neural progenitor like cells|ES-derived neural progenitor like cells	PSC@ mESC derived neural cells
C57BL/6|Mouse uterus|uterus	Utr@ Uterus
Ainv15 (ATCC SCRC-1029)|Day5 motor neurons	PSC@ mESC derived neural cells
mixed background|BIO-treated Six2-expressing cells|nephron progenitor|E16.5	Emb@ Embryonic kidney
neuronal progenitor cells|ES-derived neuronal progenitor cells	PSC@ mESC derived neural cells
