NoCell	NoD@ NA
NA18507|lymphoblastoid cell line|Yoruba from Ibadan, Nigeria (YRI)	Bld@ GM18507
UAE (leukemic)|hematopoietic cell|leukemic	Bld@ U-937
WPMY1|myofibroblast stromal cell	Prs@ WPMY-1
kelly|high-MYCN-Neuroblastoma cell line|Neuroblastoma cell line	Neu@ KELLY
Ewing sarcoma cell line A673|A673	Myo@ A-673
Ewing sarcoma cell line SKMNC|SKMNC after 96 hrs shFLI1	Bon@ SKMNC
Ewing sarcoma cell line SKMNC|SKMNC after 96 hrs shGFP	Bon@ SKMNC
Ewing sarcoma cell line SKMNC|SKMNC	Bon@ SKMNC
prostate cancer cell line|R1-AD1	Prs@ R1-AD1
Retinal pigment cells, science cell|Retinal pigment cells #6540	Oth@ HRPEpiC
DKO1|DKO1 cells|colon cancer	Dig@ Colon cancer
MCF-7 WT	Brs@ MCF-7
DND-41|DND-41 persister cells|T-cell acute lymphoblastic leukemia	Bld@ DND-41
DND-41|DND-41 nave cells|T-cell acute lymphoblastic leukemia	Bld@ DND-41
KOPT-K1|KOPT-K1 nave cells|T-cell acute lymphoblastic leukemia	Bld@ KOPT-K1
glioblastoma tumor intiating cells, 0308 line	Neu@ Glioblastoma
Primary Tissue|Adrenal Gland|N/A|None	Oth@ Adrenal Glands
Primary Tissue|Ovary|N/A|iron deficiency, bipolar	Gon@ Ovary
LNCAP cell line	Prs@ LNCAP
HKC8 cells|human kidney proximal tubule cells (HKC8 cells)	Kid@ HKC8
R3/R4 Erythroid cells|R3/R4 Erythroid cells	Bld@ Erythroid Cells
Input control|Input control	Unc@ Unclassified
HEK293|HEK293|embryonic kidney, cells contain Adenovirus 5 DNA (PMID: 11967234)|mesoderm	Kid@ 293
Caco-2|Caco-2|colorectal adenocarcinoma. (PMID: 1939345)|endoderm	Dig@ Caco-2
IMR90|IMR90 Human Fetal Lung Fibroblast cell line	Lng@ IMR-90
MCF7-LTED|Long-term estrogen deprived breast cancer cell line	Brs@ MCF-7
Raji-cells|Raji-cells|Burkitt's lymphoma	Bld@ RAJI
Small Cell Lung Carcinoma|H128	Lng@ NCI-H128
MCF-7 breast cancer cells|MCF-7 breast cancer cells	Brs@ MCF-7
FB0167P|Progeria fibroblast|Progeria fibroblast	Oth@ FB0167P
MCF7|breast adenocarcinoma cells|breast adenocarcinoma cells	Brs@ MCF-7
NT2-D1|NT2-D1|malignant pluripotent embryonal carcinoma (Ntera2), The NTERA-2 cl.D1 cell line is a pluripotent human testicular embryonal carcinoma cell line derived by cloning the NTERA-2 cell line. - ATCC. (PMID: 6694356)|inner cell mass	PSC@ NT2-D1
hiPS-18a|Cell Line|induced pluripotent cells|presumed normal|undifferentiated	PSC@ iPS cells
hiPS-20b|Cell Line|induced pluripotent cells|presumed normal|undifferentiated	PSC@ iPS cells
hiPS-20b|Cell Line|induced pluripotent cells|none|undifferentiated	PSC@ iPS cells
NH-A|astrocytes (also called Astrocy)|ectoderm	Neu@ NH-A
HCC1954|breast cancer cells|breast cancer cells	Brs@ HCC1954
reduction mammoplasty|epithelial cell|breast|normal|CD24+	Brs@ Breast cells
reduction mammoplasty|epithelial cell|breast|normal|CD44+	Brs@ Breast cells
Homogenized Human Liver|Liver tissue	Liv@ Liver
K562|K562 Cells, 24 hours following induction with TPA	Bld@ K-562
Primary Cell|CD19 Primary Cells|none|CD19+	Bld@ B-cell (CD19+)
HeLa cells|Hela cells	Utr@ HeLa
IMR90|Chromatin IP against pRb	Lng@ IMR-90
NA11894|lymphoblastoid cell	Bld@ NA11894
NA12043|lymphoblastoid cell	Bld@ NA12043
NA12776|lymphoblastoid cell	Bld@ NA12776
NA11830|lymphoblastoid cell	Bld@ NA11830
NA11881|lymphoblastoid cell	Bld@ NA11881
NA11831|lymphoblastoid cell	Bld@ NA11831
NA12813|lymphoblastoid cell	Bld@ NA12813
H1_hESC|human embryonic stem cells	PSC@ hESC H1
CyT49|embryonic stem cell	PSC@ hESC Cyt49
HMVEC|IHEC22|Human Cardiac Microvascular Endothelial Cells|the endothelium of blood vessels|microvascular endothelial cell|dead	CDV@ HMVEC
HPAEC|IHEC21|Human Pulmonary Artery Endothelial Cells|the endothelium of blood vessels|pulmonary artery endothelial cell|dead	CDV@ HPAEC
HCAEC|IHEC20|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|dead	CDV@ Coronary artery endothelial cells
HAoEC|IHEC19|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|dead	CDV@ HAoEC
HUVEC|IHEC18|Human Umbilical Vein Endothelial Cells|the endothelium of blood vessels|endothelial cell of umbilical vein|pneumonia|alive	CDV@ HUVEC
HUVEC|IHEC17|Human Umbilical Vein Endothelial Cells|the endothelium of blood vessels|endothelial cell of umbilical vein|pneumonia|alive	CDV@ HUVEC
HCAEC|IHEC16|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|dead	CDV@ Coronary artery endothelial cells
HCAEC|IHEC15|Human Coronary Artery Endothelial Cells|the endothelium of blood vessels|endothelial cell of coronary artery|pneumonia|dead	CDV@ Coronary artery endothelial cells
HPAEC|IHEC14|Human Pulmonary Artery Endothelial Cells|the endothelium of blood vessels|pulmonary artery endothelial cell|pneumonia|dead	CDV@ HPAEC
HAoEC|IHEC13|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|pneumonia|dead	CDV@ HAoEC
HAoEC|IHEC12|Human Aortic Endothelial Cells|the endothelium of blood vessels|aortic endothelial cells|dead	CDV@ HAoEC
Primary Tissue|Pancreas|N/A|None	Pan@ Pancreas
NHEK|NHEK|epidermal keratinocytes|ectoderm	Epd@ NHEK
HUVEC	CDV@ HUVEC
SEM|SEM	Bld@ SEM
testes|adult	Gon@ Testis
ZR75-1|breast cancer	Brs@ ZR-75-1
PC3|PC3	Prs@ PC-3
KOPT-K1|KOPT-K1 persister cells|T-cell acute lymphoblastic leukemia	Bld@ KOPT-K1
MDAMB231|MDAMB231	Brs@ MDA-MB-231
Edom-iPS-2|hiPSC	PSC@ iPS cells
MM1.S	Bld@ MM.1S
LCL	Bld@ Lymphoblastoid cell line
NH-A	Neu@ NH-A
Blood|Bcell|Blood|Adult	Bld@ B-Lymphocytes
Primary Tissue|Right Atrium|N/A|None	CDV@ Atrium
H54|glioblastoma|glioblastoma	Neu@ D54
MDAMB453|breast|epithelial	Brs@ MDA-MB-453
Human Embryonic kidney cell line	Kid@ 293
Calu-3|Lung adenocarcinoma cells|Lung adenocarcinoma	Lng@ Calu-3
SHSY5Y|low_MYCN-Neuroblastoma cell line|Neuroblastoma cell line	Neu@ SH-SY5Y
HEK293 cells|cultured cell line	Kid@ 293
U937|U937 cell line	Bld@ U-937
ICN12 cells|primary pre-B acute lymphomablastic leukemia	Bld@ ICN12
Embryonic stem cells	PSC@ Embryonic Stem Cells
DU145|DU145 Prostate cancer cell line	Prs@ DU 145
HCT116|HCT116 cells|colon cancer	Dig@ HCT 116
SA121|Human embryonic stem cells|Human embryonic stem cells	PSC@ hESC SA121
Human patient-derived xenograft cells	Unc@ Unclassified
HeLa|HeLa|IP with Ab  anti-INTS11 rabbit polyclonal (Bethyl, A301-274A)	Utr@ HeLa
ependymomas_PFA_H3K27me3 ChIP|Primary Ependymoma Tumour	Neu@ Ependymoma
Cultured fibroblasts	Oth@ Fibroblasts
LNCaP cells|prostate adenocarcinoma	Prs@ LNCAP
CyT49|Definitive endoderm|hESC derived definitive endoderm	PSC@ hESC derived mesendodermal cells
Human Embryonal Kidney Cells HEK-293|Isogenic HEK293 Cells	Kid@ 293
T47D-MTVL|Breast cancer cell line	Brs@ T-47D
Human primary endothelial colony-forming cells|ECFCs derived from human umbilical cord blood	CDV@ Primary endothelial cells
IMR90|IMR90 human fiboblasts	Lng@ IMR-90
BGO1|hES Cells|hES Cells	PSC@ hESC BG01
Primary Tissue|Esophagus|N/A|iron deficiency, bipolar	Dig@ Esophagus
DLD1|Cultured cells	Dig@ DLD-1
Primary Tissue|Lung|N/A|iron deficiency, bipolar	Lng@ Lung
MCF-7|MCF-7 cells|breast cancer	Brs@ MCF-7
T47D-MTVL|breast cancer ductal carcinoma	Brs@ T-47D
Jurkat|Jurkat cell line	Bld@ Jurkat
MCF-7 breast cancer cell line|MCF-7 breast cancer cell line	Brs@ MCF-7
RKO|human colon carcinoma	Dig@ RKO
Bronchial Epithelial Cells|Bronchial Epithelial Cells	Lng@ Tracheal epithelial cells
CD4+ T cells activated by IL-2+aCD3+aCD28|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
Blood monocytes|Blood monocytes	Bld@ Monocytes
NT2-D1|NT2-D1|malignant pluripotent embryonal carcinoma (NTera-2), The NTERA-2 cl.D1 cell line is a pluripotent human testicular embryonal carcinoma cell line derived by cloning the NTERA-2 cell line. - ATCC. (PMID: 6694356)|inner cell mass	PSC@ NT2-D1
Monocytes-CD14+_RO01746|Monocytes-CD14+_RO01746|Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, from donor RO 01746 (draw 1 ID is RO 01746, draw 2 ID is RO 01826), Monocytes-CD14+_RO01746 and Monocytes-CD14+_RO01826 are being used as replicates, newly promoted to tier 2: not in 2011 analysis|mesoderm	Bld@ Monocytes-CD14+
LHCN-M2|LHCN-M2|skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT (LH), and Cdk4-neo (CN), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523, newly promoted to tier 2: not in 2011 analysis.|mesoderm	Myo@ LHCN-M2
CD20+_RO01778|CD20+_RO01778|B cells, caucasian, draw number 1, newly promoted to tier 2: not in 2011 analysis|mesoderm	Bld@ CD20+
SK-N-MC|SK-N-MC|neuroepithelioma cell line derived from a metastatic supra-orbital human brain tumor, SK-N-MC was isolated in September of l971 and was found to have moderate dopamine - beta - hydroxylase activity as well as formaldehyde induced fluorescence indicative of intracellular catecholamines. - ATCC. (Biedler, et al. Morphology and Growth, Tumorigenicity, and Cytogenetics of Human Neuroblastoma Cells in Continuous Culture. Cancer Research 33, 2643-2652, November 1973.)|ectoderm	Neu@ SK-N-MC
AG04450|AG04450|fetal lung fibroblast|endoderm	Lng@ AG04450
PANC-1|pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays.|endoderm	Pan@ PANC-1
PFSK-1|neuroectodermal cell line derived from a cerebral brain tumor, (PMID: 1316433)|ectoderm	Neu@ PFSK-1
AoAF|AoAF|aortic adventitial fibroblast cells|mesoderm	CDV@ AoAF
CD8+ T cells|CD8+ T cells	Bld@ CD8-Positive T-Lymphocytes
CD14dimCD16+ non-classical blood monocytes|CD14dimCD16+ non-classical blood monocytes	Bld@ Monocytes-CD14+
patient colon tumor|Patient Tumor	Dig@ Colon cancer
patient breast tumor|Patient Tumor	Brs@ Breast cancer cells
BPE cells|Immortalized mammary epithelial cells	Brs@ BPE
MCF10A CELLS|Immortalized mammary epithelial cells	Brs@ MCF 10A
Primary Cell|CD25- IL17- Th stim MACS|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
Primary Cell|CD25- IL17+ Th17 stim|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
Primary Cell|CD25int CD127+ Tmem|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
Primary Cell Culture|hN (ES H9 derived Neurons)|none|&gt;90% beta III tubulin(+) and &gt;60% MAP2(+)	PSC@ hESC derived neural cells
Primary Cell Culture|hNP (ES H9 derived Nuronal Progenitors)|none|&gt;90% nestin(+) and &lt;5% Oct-4(+)	PSC@ hESC derived neural cells
HeLa cells|HeLa cells	Utr@ HeLa
MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis	Brs@ MCF-7
GM12892|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed	Bld@ GM12892
IB4|IB4 cells|EBV immotalized lymphocyte	Bld@ IB4
Primary Cell|CD15 Primary Cells|none|CD15+	Bld@ CD15 Granulocytes
Primary Cell|CD25- CD45RA+ naive|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
Primary Cell|CD25- CD45RO+ mem|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
hES I3 TESR|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC I3
hiPS-15b|Cell Line|induced pluripotent cells|none|undifferentiated	PSC@ iPS cells
H3K9/K14ac_ChIPSeq|primary Human Aortic Endothelial cells (HAEC)	CDV@ HAEC
HeLa cell line|HeLa cell line	Utr@ HeLa
Megakaryocytes|megakaryocytes cultured from cord blood CD34-positive cells	Bld@ CD34+
NEC|Neuroectodermal sphere cells (NEC) derived from H9 ESC	PSC@ hESC derived neural cells
hES-I3|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC I3
T98G|Human glioblastoma T98G cells	Neu@ T98G
HeLa S3|HeLa S3 cell line	Utr@ HeLa
APL cells _pz164	Bld@ Leukemia, Myeloid
H1 (WA01)|Cell Line|NA|None|undifferentiated	PSC@ hESC H1
memory CD8 T cells	Bld@ CD8-Positive T-Lymphocytes
NA11840|lymphoblastoid cell	Bld@ NA11840
LoVo|epithelial|colon; derived from metastatic site: left supraclavicular region	Dig@ LoVo
Primary Tissue|fetal heart|UW|None	CDV@ Heart
Ls174T|Ls174T cells	Dig@ LS-174T
LNCaP|LNCaP cells	Prs@ LNCAP
THP-1|THP-1 cells	Bld@ THP-1
hepatocytes|liver	Liv@ Hepatocytes
HMEC|HMEC	Brs@ HMEC
CyT49|hESC|Undifferentiated hESCs	PSC@ hESC Cyt49
MRC-iPS-25	PSC@ iPS cells
Primary Tissue|Small Intestine|N/A|iron deficiency, bipolar	Dig@ Intestine, Small
Primary Tissue|Thymus|N/A|None	Oth@ Thymus
NHDF-Ad	Epd@ NHDF
A549|A549 cells|lung carcinoma	Lng@ A549
Primary Tissue|Esophagus|N/A|None	Dig@ Esophagus
Primary Tissue|Aorta|N/A|None	CDV@ Aorta
Primary Tissue|Fetal Brain|UW|None	Neu@ Fetal brain
SAOS	Bon@ Saos-2
ZR-75-1|breast|epithelial	Brs@ ZR-75-1
SW480|Human colorectal cancer cell line	Dig@ SW 480
Retinal pigment cells|Sciencell #6540	Oth@ HRPEpiC
HEK 293T|HEK 293T cells	Kid@ 293
whole cell|SF7761 cell line	Neu@ SF7761
whole cell|neural stem cell (NSC)	Neu@ Neural Stem Cells
human control NPCs|iPSC (GM8330-8)-derived NPC	PSC@ iPS derived neural cells
T47D|T47D breast cancer cells	Brs@ T-47D
LP1|Peripheral blood	Bld@ LP-1
HBL1|Peripheral blood	Bld@ HBL-1
HCT116|HCT116 WT|human colon cancer cells	Dig@ HCT 116
HCT116|HCT116 FBXW7 KO|human colon cancer cells	Dig@ HCT 116
OCI-LY10|ABC DLBCL|Diffuse large B-cell lymphoma (DLBCL)	Bld@ OCI-LY-10
U2932 lymphoma cell line|U2932 human lymphoma cell line	Bld@ U-2932
Human primary adult proerythroblasts (ProEs)|CD34+ HSPC-derived proerythroblasts|bone marrow|adult	Bld@ CD34+
hESC derived anterior foregut (AFG)|hESC derived anterior foregut (AFG)	PSC@ hESC derived mesendodermal cells
hESC derived definitive endoderm cells|hESC derived definitive endoderm cells	PSC@ hESC derived mesendodermal cells
hESC derived anterior primitive streak (APS)|hESC derived anterior primitive streak (APS)	PSC@ hESC derived mesendodermal cells
H7-Embryonic stem cell|H7 - Embryonic stem cell	PSC@ hESC H7
Primary Tissue|Aorta|N/A|iron deficiency, bipolar	CDV@ Aorta
HCT116 colorectal cancer cells DNMT1KO/DNMT3BKO	Dig@ HCT 116
Primary Tissue|Liver|N/A|coronary artery disease	Liv@ Liver
GM19239|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM19239
GM19238|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM19238
GM19204|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell lines
GM19193|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM19193
GM19141|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell lines
GM18522|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM18526
GM18516|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell lines
GM18508|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell lines
GM18507|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM18507
GM18505|lymphoblastoid cell line|lymphoblastoid cell line	Bld@ GM18526
IMR90 cells|IMR90 cells	Lng@ IMR-90
primary HUVEC cells	CDV@ HUVEC
LNCaP cells|prostate cancer	Prs@ LNCAP
Tonsillar Germinal Center B cells|Tonsillar Germinal Center B cells	Bld@ B-Lymphocytes
Tonsillar Nave B cells|Tonsillar Nave B cells	Bld@ B-Lymphocytes
SUM159PT|breast cancer cells|breast cancer cells	Brs@ SUM 159PT
H295R adrenocortical tumor cell line|H295R/TR SF-1 cells	Oth@ NCI-H295R
Primary Cell Culture|Keratinocyte|None|NA	Epd@ Keratinocytes
Primary Cell Culture|Melanocyte|None|NA	Epd@ Melanocytes
HCM|HCM|cardiac myocytes|mesoderm	CDV@ HCM
NHDF-neo|NHDF-neo|neonatal dermal fibroblasts|mesoderm	Epd@ NHDF
HFF-Myc|HFF-Myc|foreskin fibroblast cells expressing canine cMyc|fibroblast	Epd@ HFF
RPTEC|RPTEC|renal proximal tubule epithelial cells	Kid@ RPTEC
BE2_C|BE2_C|neuroblastoma, BE-C is a clone of the SK-N-BE neuroblastoma cell line (see ATCC CRL-2271) that was established in November of 1972 from a bone marrow biopsy taken from a 2-year-old individual with disseminated neuroblastoma after repeated courses of chemotherapy and radiotherapy.|ectoderm	Neu@ BE(2)-C
HFF|HFF|foreskin fibroblast	Epd@ HFF
NHLF|NHLF|lung fibroblasts|endoderm	Lng@ NHLF
HVMF|HVMF|villous mesenchymal fibroblast cells	Plc@ HVMF
SGBS cell line undergoing differentiation for 10 days|adipocyte	Adp@ SGBS
T47D-MTVL|T47D-MTVL breast cancer cell line	Brs@ T-47D
HUVEC|umbilical vein endothelial cells|mesoderm	CDV@ HUVEC
SAEC|SAEC|small airway epithelial cells|endoderm	Lng@ SAEC
Jurkat|Jurkat|T lymphoblastoid derived from an acute T cell leukemia, The Jurkat cell line was established from the peripheral blood of a 14 year old boy by Schneider et al., and was originally designated JM. - ATCC. (PMID: 68013)|mesoderm	Bld@ Jurkat
AG04449|AG04449|fetal buttock/thigh fibroblast	Epd@ AG04449
CD4+CD25-CD45 RA+ naive conventional T cells|CD4+CD25-CD45 RA+ naive conventional T cells	Bld@ CD4-Positive T-Lymphocytes
CD56+ Natural Killer cells|CD56+ Natural Killer cells	Bld@ CD56+
CD19+ B cells|CD19+ B cells	Bld@ B-cell (CD19+)
MCF-7|GATA3_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|GATA3_estrogen|breast cancer cells	Brs@ MCF-7
VCaP|VCaP|Prostate epithelial cells derived from vertebral bone metastasis from patient with hormone refractory cancer.	Prs@ VCaP
HME cells|Immortalized mammary epithelial cells	Brs@ HMEC
Primary Cell Culture|Fibroblast|None|NA	Oth@ Fibroblasts
OCI-LY1|Human DLBCL cel line	Bld@ OCI-LY1
TEX|TEX cells	Bld@ TEX
SK-N-SH_RA|neuroblastoma cell line, treatment: differentiated with retinoic acid, (Biedler, et al. Morphology and Growth, Tumorigenicity, and Cytogenetics of Human Neuroblastoma Cells in Continuous Culture. Cancer Research 33, 2643-2652, November 1973.)	Neu@ SK-N-SH
FB8470|Normal child fibroblasts|Normal child fibroblasts	Oth@ FB8470
U937|Input ChIP-Seq U937 BIO	Bld@ U-937
PBMC|PBMC|Peripheral blood mononuclear cells|mesoderm	Bld@ PBMC
T-47D|T-47D breast cancer cell line|Breast	Brs@ T-47D
Primary Cell|CD25+ CD127- Treg|presumed normal|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
Lymphoblastoid cell-line|GM12878|lymphoblastoid cell-line derived from NA12878	Bld@ GM12878
SAEC|SAEC|Small Airway Epithelial Cells	Lng@ SAEC
HRE|HRE|Human Renal Epithelial cells (normal)|mesoderm	Kid@ HRE
GM12865|GM12865|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12865
HCPEpiC|HCPEpiC|Human Choroid Plexus Epithelial Cells	Neu@ HCPEpiC
HPF|HPF|Human Pulmonary Fibroblasts isolated from lung tissue	Lng@ HPF
WERI-Rb-1|WERI-Rb-1|retinoblastoma (PMID: 844036)	Oth@ WERI-Rb-1
HMF|HMF|human mammary fibroblasts	Brs@ HMF
HPAF|HPAF|Human Pulmonary Artery Fibroblasts	CDV@ HPAF
HBMEC|HBMEC|Human Brain Microvascular Endothelial Cells	CDV@ HBMEC
GM06990|GM06990|Lymphoblastoid, International HapMap Project, CEPH/Utah, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM06990
HEEpiC|HEEpiC|Human Esophageal Epithelial Cells|endoderm	Dig@ HEEpiC
SK-N-SH_RA|SK-N-SH_RA|neuroblastoma cell line, treatment: differentiated with retinoic acid. (Biedler, et al. Morphology and Growth, Tumorigenicity, and Cytogenetics of Human Neuroblastoma Cells in Continuous Culture. Cancer Research 33, 2643-2652, November 1973.)|ectoderm	Neu@ SK-N-SH
SKNO-1 (leukemic)|hematopoietic cell|leukemic	Bld@ SKNO-1
HeLa-S3|cervical carcinoma	Utr@ HeLa
Fully differentiated|Adipocytes|Mesenchymal stem cells-derived adipocytes	Adp@ Adipocytes
AML pz229 (leukemic)|hematopoietic cell|leukemic	Bld@ Leukemia, Myeloid
AML pz186 (leukemic)|hematopoietic cell|leukemic	Bld@ Leukemia, Myeloid
Primary Cell|CD34 Cultured Cells|none|CD34+	Bld@ CD34+
hiPS-18c|Cell Line|induced pluripotent cells|none|undifferentiated	PSC@ iPS cells
MCF-7 cells	Brs@ MCF-7
Embyonic stem cells	PSC@ Embryonic Stem Cells
LY2|epithelial cell	Brs@ LY2
HEK293T	Kid@ 293
HAc|HAc|astrocytes-cerebellar|ectoderm	Neu@ HAc
NHEK	Epd@ NHEK
Hela|CCL-2	Utr@ HeLa
p50p50	Unc@ Unclassified
HUES64|hES HUES64	PSC@ hESC HUES64
Primary Tissue|Lung|N/A|None	Lng@ Lung
HL-60|promyelocytic leukemia cells, (PMID: 276884)|mesoderm	Bld@ HL-60
Osteobl	Bon@ Osteobl
HL-60|HL-60 cells	Bld@ HL-60
HCT116|HCT116	Dig@ HCT 116
CD34	Bld@ CD34+
HEK 293T	Kid@ 293
LNCaP|prostate	Prs@ LNCAP
81.3|lymphoblastoid	Bld@ 81.3
MCF7|breast|epithelial	Brs@ MCF-7
T74-D|breast cancer	Brs@ T-47D
HeLa|Human cervical cancer cell line	Utr@ HeLa
HEK293T|Human embryonic kidney cell line	Kid@ 293
ZR751|Human Breast Cancer Cells|Luminal	Brs@ ZR-75-1
MDAMB436|Human Breast Cancer Cells|Basal-Like Carcinoma	Brs@ MDA-MB-436
SKBR3|Human Breast Cancer Cells|HER2+	Brs@ SK-BR-3
WI38|Human Embryonic Lung Fibroblasts|Normal Cells	Lng@ WI-38
HMEC|Human Mammary Epithelial Cells|Normal Cells	Brs@ HMEC
CD14++ CD16- monocytes from patient 2|septic disease	Bld@ Monocytes-CD14+
CD14++ CD16- monocytes from patient 1|septic disease	Bld@ Monocytes-CD14+
Jurkat|Jurkat cell line|Acute T Cell Leukemia T lymphocyte	Bld@ Jurkat
CD19+ B cells|peripheral blood B cells|peripheral blood	Bld@ B-Lymphocytes
prostate cancer cell line|R1-D567	Prs@ R1-D567
H1|human embryonic stem cells	PSC@ hESC H1
293T-Rex mock control cells|15-20	Kid@ 293
T-ALL cell line|Jurkat	Bld@ Jurkat
Fibroblasts|Fibroblast primary cell line	Oth@ Fibroblasts
Dendritic cells|Monocyte-derived denditric cells	Bld@ Dendritic Cells
TFH T cell|Human tonsil|CD4+CD45RA-TCRb+PD-1hiCXCR5hiPSGL-1lo	Bld@ CD4-Positive T-Lymphocytes
TEFF T cell|Human tonsil|CD4+CD45RA-TCRb+PD-1loCXCR5loPSGL-1hi	Bld@ CD4-Positive T-Lymphocytes
22Rv1|prostate cancer cell|prostate cancer	Prs@ 22Rv1
HCC2157|breast cancer cells|breast cancer cells	Brs@ HCC2157
H1-embryonic stem cells|H1-embryonic stem cells	PSC@ hESC H1
H1-embryonic stem cells (p75)|H1-embryonic stem cells	PSC@ hESC H1
human epidermal keratinocytes|human epidermal keratinocytes|primary human epidermal keratinocytes isolate from foreskin	Epd@ Keratinocytes
NTKO|Multiple myeloma|Multiple myeloma	Bld@ Multiple Myeloma
