NoAb	NoD@ NA
Myogenin_(sc-12732)|sc-12732|Myogenin is a muscle-specific transcription factor that can induce myogenesis in a variety of cell types in tissue culture. It is a member of a large family of proteins related by sequence homology, the helix-loop-helix (HLH) proteins. It is essential for the development of functional skeletal muscle. (provided by RefSeq)|mouse monoclonal antibody; epitope mapping within amino acids 138-158 of myogenin of rat origin. Antibody Target: Myogenin|C2C12	Oth@ Myog
Anti-Stat5B|Total T Cells	Oth@ Stat5b
Anti-Stat5A|Total T Cells	Oth@ Stat5a
Rabbit IgG|Total T Cells	InP@ Input control
H3K4me2|APC-iPSC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me3|APC-iPSC H3K4me3 ChIPseq	His@ H3K4me3
H3K27me3|APC-iPSC H3K27me3 ChIPseq	His@ H3K27me3
APC-iPSC input DNA	InP@ Input control
Maff|bone marrow	Oth@ Maff
Egr2|sc-20690|bone marrow	Oth@ Egr2
K4me3|07-473|bone marrow	His@ H3K4me3
K27Ac|ab4729|bone marrow	His@ H3K27ac
Irf1|ab52520|sc-640|bone marrow	Oth@ Irf1
Ets2|sc-351|bone marrow	Oth@ Ets2
E2f4|sc-512|bone marrow	Oth@ E2f4
E2f1|sc-193|bone marrow	Oth@ E2f1
Ctcf|07-729|bone marrow	Oth@ Ctcf
Ahr|ab81937|bone marrow	Oth@ Ahr
Anti-DMC1 (C-20)|Anti-DMC1 13R_testis_SSDS	Oth@ Dmc1
IgG|whole brain	InP@ Input control
Antibody H3K9me3 (Abcam ab8898-100, lot. 733953)|Embryonic Stem cells	His@ H3K9me3
RAD51 (H92)|sc 8349|adult testis	Oth@ Rad51
H3K4me1|AB8895|Embryonic stem cells	His@ H3K4me1
H3K27Ac|AB4729|Embryonic stem cells	His@ H3K27ac
none|embryonic hindlimb bud, ChIP input	InP@ Input control
none|embryonic forelimb bud, ChIP input	InP@ Input control
anti-FlagM2 (Sigma, 088k6018)|mouse embryonic stem cells	Oth@ Epitope tags
C/EBPbeta|Preadipocyte cell line	Oth@ Cebpb
anti-REST (Santa Cruz, #H-290)|Embryonic Stem Cells (ESCs) wildtype	Oth@ Rest
Tet1 rabbit polyclonal antibodies|Mouse ES cells	Oth@ Tet1
Ezh2|Embryonic Stem cells	Oth@ Ezh2
H3K36me3|Embryonic Stem cells	His@ H3K36me3
H3K27me3|Embryonic Stem cells	His@ H3K27me3
H3K4me3|Embryonic Stem cells	His@ H3K4me3
Smad3|AB28379|Embryonic stem cells	Oth@ Smad3
H3K36me3&lt;AbCam#9050&gt;|primary CD4+ T cells from spleen and lymph nodes	His@ H3K36me3
H3K27me3&lt;Millipore #07-449&gt;|primary CD4+ T cells from spleen and lymph nodes	His@ H3K27me3
H3K4me3&lt;AbCam#8580&gt;|primary CD4+ T cells from spleen and lymph nodes	His@ H3K4me3
anti-PU.1 (T-21)|Murine erythroleukemia (MEL) cells stably transfected with Gata-1 fused to ER	Oth@ Spi1
anti-Pol II Serine 2 phosphorylated|Macrophages	Pol@ RNA Polymerase II
CTCF|Upstate, Cat# 07-729, Lot# 1350637|3T3-L1	Oth@ Ctcf
H3K36me3|Abcam, Cat# ab9050, Lot# 136353|3T3-L1	His@ H3K36me3
H3K27me3|Upstate, Cat# 07-449, Lot# DAM1387952|3T3-L1	His@ H3K27me3
H3K27ac|Abcam, Cat# ab4729, Lot# 31456|3T3-L1	His@ H3K27ac
H3K4me1|Abcam, Cat# ab8895, Lot# 268176|3T3-L1	His@ H3K4me1
H3K4me2|Abcam, Cat# ab7766, Lot# 56293|3T3-L1	His@ H3K4me2
H3K4me3|Abcam, Cat# ab8580, Lot# 376637|3T3-L1	His@ H3K4me3
RAP1|embryonic fibroblast	Oth@ Terf2ip
anti-GFP (Cristea et al., 2005)|Embryonic stem cells	Oth@ GFP
H3K36me3 (Abcam ab9050)|Embryonic stem cells	His@ H3K36me3
Anti H3K27me3 Millipore 07-449 (lot 1662421)	His@ H3K27me3
None|None WCE|Neural Progenitors	InP@ Input control
Irf7|GM-CSF treated myeloid cells	Oth@ Irf7
anti-H3K27Ac (Abcam AB4729)|retina	His@ H3K27ac
anti-H3K9me3 (Abcam; ab8898; Lot: GR88132-1)|Murine MLL-AF9 leukemic cells	His@ H3K9me3
miwi2KO_GermCellsTestis_MACS_inputDNA	InP@ Input control
miwi2HET_GermCellsTestis_MACS_inputDNA	InP@ Input control
a-H3K9me3|miwi2HET_Liver_H3K9me3	His@ H3K9me3
miwi2HET_Liver_inputDNA	InP@ Input control
p50|BMM_LPS_0060_P50	Unc@ Unclassified
anti H3K4me3, Diagenode pAb-003-050, Lot.: A5051-001P|Pro-B cell	His@ H3K4me3
input|spermatocytes	InP@ Input control
H3K4me3|07-473|spermatocytes	His@ H3K4me3
anti-Flag antibody|iMN-ESCs	Oth@ Epitope tags
None|Mouse Prostate	InP@ Input control
input	InP@ Input control
H3K36me3|liver tissue	His@ H3K36me3
H3K9me3|liver tissue	His@ H3K9me3
Millipore|07-473	His@ H3K4me3
Abcam|ab8895	His@ H3K4me1
Millipore|07-449	His@ H3K27me3
Santa|sc-6553	Oth@ Foxa1
Histone H3 trimethyl Lys27	His@ H3K27me3
Limb bud	Unc@ Unclassified
neuronal progenitor cells	Unc@ Unclassified
Mll3|Liver tissue	Oth@ Kmt2c
Egr1|ab54966-100|sc-110|bone marrow	Oth@ Egr1
Rel|sc-71|sc-70|bone marrow	Oth@ Rel
none|none|bone marrow	InP@ Input control
Stat3|A302-406A|bone marrow	Oth@ Stat3
Rela|A301-824A|sc-372|bone marrow	Oth@ Rela
Relb|A302-183A|sc-226|bone marrow	Oth@ Relb
Hif1a|NB100-134|bone marrow	Oth@ Hif1a
H3K4Tm3|ACH3_ChIPseq	His@ H3K4me3
H3K9Ac|TMK4_ChIPseq	His@ H3K9ac
H3Pan|Liver tissue	His@ H3
H3K9me3|Liver tissue	His@ H3K9me3
H3K4me3|Liver tissue	His@ H3K4me3
none|KH2	InP@ Input control
H3K27me3|Doxycycline-induced MEFs	His@ H3K27me3
H3K4me2|Doxycycline-induced MEFs	His@ H3K4me2
Pol II|MEF	Pol@ RNA Polymerase II
H3K4me3|MEF	His@ H3K4me3
H3K9Ac|MEF	His@ H3K9ac
H3K36me3|MEF	His@ H3K36me3
anti-H4K8Ac|Macrophages	His@ H4K8ac
anti-H4K5Ac|Macrophages	His@ H4K5ac
anti-H4K12Ac|Macrophages	His@ H4K12ac
anti-H3Ac|Macrophages	His@ H3ac
anti-Brd3|Macrophages	Oth@ Brd3
anti-Brd2|Macrophages	Oth@ Brd2
PTIP|mouse B cells	Oth@ Paxip1
anti-PU.1 (T-21)|ES-cell derived erythroid progenitors	Oth@ Spi1
anti-Pol II total|Macrophages	Pol@ RNA Polymerase II
anti-H3K4me3|Macrophages	His@ H3K4me3
anti-CDK9 (P-TEFb)|Macrophages	Oth@ Cdk9
anti-H4Ac|Macrophages	His@ H4ac
anti-Brd4|Macrophages	Oth@ Brd4
BRD4	Oth@ Brd4
flag	Oth@ Epitope tags
HA (homemade)|GATA1 null erythroblasts	Unc@ Unclassified
Anti-H4K16ac (Millipore, CS204361)|Satellite cells	His@ H4K16ac
IRF1 (santa cruz, sc-640)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Irf1
STAT2 (santa crus, sc-950)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Stat2
none|Mouse kidney cortex, input	InP@ Input control
WT1 (Santa Cruz, sc-192, Lot F1711)|Mouse kidney cortex, WT1 ChIP	Oth@ Wt1
H3K27ac|mouse saline NAc H3K27ac ChIPseq	His@ H3K27ac
H3K27ac|mouse cocaine NAc H3K27ac ChIPseq	His@ H3K27ac
H3K4me3 (Abcam ab1012)|TT2	His@ H3K4me3
CTCF (Cell Signaling 2899)|Embryonic stem cells	Oth@ Ctcf
SUZ12 (Abcam, 12073)|MLL-AF9-puro transformed murine leukemia cell line	Oth@ Suz12
H3K27me3 (Millipore 07-449)|MLL-AF9-puro transformed murine leukemia cell line	His@ H3K27me3
none|MLL-AF9-puro transformed murine leukemia cell line	InP@ Input control
Anti-Histone H3 (acetyl K27) antibody|activated B cell	His@ H3K27ac
H3K27me3 (Abcam, ab6002)|Spermatocytes	His@ H3K27me3
serine 5-phosphorylated RNA Polymerase II (Abcam)|in vitro activated B cells	Pol@ RNA Polymerase II
H3K4me1|Abcam: ab8895, lot667543|Heart	His@ H3K4me1
H3K4me3|Abcam #ab8580|Differentiated motor neuron	His@ H3K4me3
H3K27me3|Abcam #ab6002|Differentiated motor neuron	His@ H3K27me3
HA antibody, Abcam ab9110|embryonic fibroblasts	Oth@ Epitope tags
none|embryonic fibroblasts, E13.5	InP@ Input control
c-Myc N262 (Santa Cruz, catalog# sc764, lot# G0111)|embryonic fibroblasts, E13.5	Oth@ Myc
none|WT MEF	InP@ Input control
R&amp;D hSOX3 (AF2569)|Neural Progenitor Cells	Oth@ Sox3
ATRX|SV40T transformed fibroblasts	Oth@ Atrx
None|embryonic stem cells	InP@ Input control
anti-GTF2B (sc-225)|whole heart	Oth@ Gtf2b
Abcam (ab9050)|primary Rag2 -/- thymocytes	His@ H3K36me3
H3K27ac|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	His@ H3K27ac
H3K4me1|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	His@ H3K4me1
DF308 (Olig2)	Oth@ Olig2
none|epiblast like cells (EpiLC)	InP@ Input control
H3K27m3(Millipore #07-449)|primary NK cells from spleens purified by negative selection	His@ H3K27me3
H3K36m3(AbCam #9050)|primary NK cells from spleens purified by negative selection	His@ H3K36me3
H3K4m3(Millipore #04-745)|primary NK cells from spleens purified by negative selection	His@ H3K4me3
none|embryonic stem cells	InP@ Input control
CEBPb (sc-150)|BV2 cells	Oth@ Cebpb
CEBPa (sc-61)|BV2 cells	Oth@ Cebpa
PU.1 (sc-352)|BV2 cells	Oth@ Spi1
H3K4me2 (Millipore 07-030)|BV2 cells	His@ H3K4me2
None|Embryonic fibroblast	InP@ Input control
Meis1/2 (Santa Cruz Biotechnology, sc-10599X, lot# C2912)|Embryonic fibroblast	Oth@ Meis1
none|In vitro effector CD8+ T cells	InP@ Input control
ICSBP Antibody (Santa Cruz biotechnology inc., C-19)|Flt3 ligand derived dendritic cells	Oth@ Irf8
SRC-2 antibody (Bethyl Laboratories, catalog number A300-346, lot number A-1)|Liver	Oth@ Ncoa2
Custom GFP antibody from MPI-CBG anti-GFP 2007 (Vermeulen et al., 2010)|Embryonic Stem Cells (ESCs)	Oth@ GFP
RING1B ab (Atsuta et al., 2001; PMID 11289226)|Embryonic stem cells, tamoxifen treated, RING1B ChIP	Oth@ Rnf2
RING1B ab (Atsuta et al., 2001; PMID 11289226)|Embryonic stem cells, untreated control, RING1B ChIP	Oth@ Rnf2
KDM2B ab (Farcas et al., 2012; PMID 23256043)|Embryonic stem cells, tamoxifen treated, KDM2B ChIP	Oth@ Kdm2b
KDM2B ab (Farcas et al., 2012; PMID 23256043)|Embryonic stem cells, untreated control, KDM2B ChIP	Oth@ Kdm2b
E36 ES cells	Unc@ Unclassified
E36 ES cells EED KO	Unc@ Unclassified
anti-Ezh2 : BD Transduction Laboratories ref : 612666|TT2	Oth@ Ezh2
anti-H3K9ac (active motif 39918)|whole heart	His@ H3K9ac
H3K27ac|mouse brown preadipocytes, MLL4 KO, H3K27ac ChIP	His@ H3K27ac
H3K27ac|mouse brown preadipocytes, WT, H3K27ac ChIP	His@ H3K27ac
H3K4me3|mouse brown preadipocytes, MLL4 KO, H3K4me3 ChIP	His@ H3K4me3
H3K4me3|mouse brown preadipocytes, WT, H3K4me3 ChIP	His@ H3K4me3
H3K4me1|mouse brown preadipocytes, MLL4 KO, H3K4me1 ChIP	His@ H3K4me1
H3K4me1|mouse brown preadipocytes, WT, H3K4me1 ChIP	His@ H3K4me1
Monoclonal anti-H3K4me1|Splenic CD8+ T cells	His@ H3K4me1
Anti-EGR2 (Covance, PRB-236P D13BF00486)|T cells	Oth@ Egr2
none (input)|embryonic fibroblasts	InP@ Input control
Anti-H3K4me3 Millipore (#07-473)|Testis	His@ H3K4me3
anti-Irf4 (Santa Cruz; sc-6059)|purified primary B cells from Bi-8i mice; stimulated for 3 Days; anti-Irf4 ChIP	Oth@ Irf4
anti-Irf4 (Santa Cruz; sc-6059)|purified primary B cells from Bi-8i mice; stimulated for 1 Days; anti-Irf4 ChIP	Oth@ Irf4
LHX2|Mouse back skins	Oth@ Lhx2
neonatal tail tip fibroblasts, Hotair knockout	Unc@ Unclassified
neonatal tail tip fibroblasts, Hotair wildtype	Unc@ Unclassified
H3K27me3 (Millipore 07-449)|CM stage cultures, H3K27me3	His@ H3K27me3
H3K27me3 (Millipore 07-449)|CP stage cultures, H3K27me3	His@ H3K27me3
H3K27me3 (Millipore 07-449)|MES stage cultures, H3K27me3	His@ H3K27me3
H3K4me1 (Abcam ab8895)|CM stage cultures, H3K4me1	His@ H3K4me1
H3K4me1 (Abcam ab8895)|CP stage cultures, H3K4me1	His@ H3K4me1
H3K4me1 (Abcam ab8895)|MES stage cultures, H3K4me1	His@ H3K4me1
H3K4me1 (Abcam ab8895)|ESC stage cultures, H3K4me1	His@ H3K4me1
H3K27me3 (Millipore 07-449)|hindlimb muscles	His@ H3K27me3
H3K4me3 (Abcam 8580)|hindlimb muscles	His@ H3K4me3
mIgG (sc-2025, SantaCruz)|mIgG1	InP@ Input control
N/A (input sample)|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	InP@ Input control
Mouse embryonic day 11.5 (e11.5) midbrain	Unc@ Unclassified
CTCF|murine primary activated B cells	Oth@ Ctcf
H3K9me3 (Abcam, 8898)|Embryonic stem cells	His@ H3K9me3
Streptavidin T1 dynabeads (Invitrogen)|RAW macrophages	Oth@ Biotin
anti-FLAG (Sigma M2 F1804)|Differentiated embryonic stem cells	Oth@ Epitope tags
IgG|liver tissue	InP@ Input control
AcH4K12; Anti-Histone H4 (acetylated) (acetyl K12) antibody	His@ H4K12ac
N/A|NAc dissection from 3-5 animals	InP@ Input control
Flag-Tag ChIP-Seq|Reconstitute Flag tag MEF cell	Oth@ Epitope tags
H2A.X|ES cell	His@ H2A.X
no antibody|Embryonic stem cells	InP@ Input control
anti-H3K27ac|Primary bone marrow-derived macrophages, IL4 for 4hrs, H3K27ac ChIP	His@ H3K27ac
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 4hrs, H3K4me1 ChIP	His@ H3K4me1
Monoclonal ANTI-FLAG M2, Clone M2 (SIGMA, F1804)|Neural progenitor like cells	Oth@ Epitope tags
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|MEL	Pol@ RNA Polymerase II
RORg|Th17 in vitro	Oth@ Rorc
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|MEL	His@ H3K4me1
H3K4me3 (04-745, Millipore)|Embryonic stem cell	His@ H3K4me3
In house anti-H3K9me3 #4861|Embryonic Fibroblasts	His@ H3K9me3
In house anti-H3K9me3 #1926|Embryonic Fibroblasts	His@ H3K9me3
WCE|Day5 motor neurons	InP@ Input control
anti-V5 (Abcam, ab15828)|Pseudo IP against V5	Oth@ Epitope tags
cJUN (Abcam, ab31419, GR30-33)|CD4+ T Cells	Oth@ Jun
none|E11.5 Embryo Trunk	InP@ Input control
Santa Cruz SC-2025|Quiescent B cells, lipopolysaccharide (LPS) treatment for 4hrs	InP@ Input control
mouse embryonic stem cells (E14)	Unc@ Unclassified
Anti-polII (Santa Cruz # sc-899)|Primary bone marrow-derived macrophages (BMDM)	Pol@ RNA Polymerase II
H3K27ac (ab4729, Abcam)|FACS-purified Pou5f1-GFP-positive germ cells	His@ H3K27ac
H3K27me3 (07-449, Millipore)|FACS-purified Pou5f1-GFP-positive germ cells	His@ H3K27me3
H3K4me3 (04-745, Millipore)|FACS-purified Pou5f1-GFP-positive germ cells	His@ H3K4me3
none|murine embryonic stem cells	InP@ Input control
IgG (Thermo scientific, 23212, lot LI150449)|embryonic stem cells	InP@ Input control
p300, SantaCruz: sc-585x|C1C12 myotubes differentiated for 96h	Oth@ Ep300
p300, SantaCruz: sc-585x|Growing C1C12 myoblasts	Oth@ Ep300
SMC1|Chromatin IP against SMC1	Oth@ Smc1a
Anti-DMC1 (C-20)|Anti-DMC1 B6_testis_SSDS	Oth@ Dmc1
RXR|C57BL/6 LXRdKO mouse liver	Oth@ Rxra
RXR|C57BL/6 wild type mouse liver	Oth@ Rxra
LXR|C57BL/6 wild type mouse liver	Oth@ Nr1h3
H2Bub, Millipore: 05-1312, clone 56|C1C12 myotubes differentiated for 96h	His@ H2Bub
H2Bub, Millipore: 05-1312, clone 56|Growing C1C12 myoblasts	His@ H2Bub
IgG|adult testis	InP@ Input control
H3K36me3|primary CD4+ T cells from spleen and lymph nodes	His@ H3K36me3
None WCE|Embryonic stem cells	InP@ Input control
Sox11 (M. Wegner)|Neurons	Oth@ Sox11
Sox2 (Millipore)|Neural progenitor cells	Oth@ Sox2
Sox3 (T. Edlund)|Neural progenitor cells	Oth@ Sox3
none|mouse Ik knockout DP thymocytes	InP@ Input control
H3K27me3 (Millipore, 07-449)|Mouse back skins	His@ H3K27me3
H3K79me2 (Abcam, ab3594)|Mouse back skins	His@ H3K79me2
H3K4me3 (Abcam, ab1012)|Mouse back skins	His@ H3K4me3
Lin et al. 2010 (Mol. Cell)|KH2	Oth@ Ell2
anti-H3K27me3 (Upstate 07-449)|ES_H3K27me3_ChIPseq	His@ H3K27me3
anti-CTCF (SantaCruz #15914)|ES_CTCF_ChIPseq	Oth@ Ctcf
H3K9me3 (Active Motif, cat #39161, lot #170)|Embyonic Stem Cell	His@ H3K9me3
H3K27me3|Terminally differentiated Neurons (TN)	His@ H3K27me3
H3K4me1|Abcam AB8895|ZHBTc4 ES cells	His@ H3K4me1
R&amp;D systems, anti-stat 5B serum PA-ST5B|Dendritic Cell in Spleen	Oth@ Stat5b
Invtrogen, monoclonal antibody ST3-5G7|Dendritic Cell in Spleen	Oth@ Stat3
anti-REST (Santa Cruz, #H-290)|Neuronal Progenitor (NP) Cells wildtype	Oth@ Rest
None|Homogenized Mouse Liver	InP@ Input control
anti-H3K27me3|Terminally differentiated Neurons (TN)	His@ H3K27me3
anti-H3K27me3|Neuronal Progenitor (NP) Cells	His@ H3K27me3
anti-H3K27me3|Embryonic Stem Cells (ESCs)	His@ H3K27me3
H3K4me2|mammary gland	His@ H3K4me2
p65|primary bone marrow-derived macrophages	Oth@ Rela
BCL6|primary bone marrow-derived macrophages	Oth@ Bcl6
no IP|Embryonic stem cells	InP@ Input control
Ring1B|Embryonic stem cells knockout for Eed	Oth@ Rnf2
DMC1 (C-20)|sc 8973|pups testis	Oth@ Dmc1
H3K4me1|Abcam AB8895|Embyonic stem cells	His@ H3K4me1
E14 TG2A mouse embryonic stem cells	Unc@ Unclassified
pSmad2|ab16509|E14 TG2A mouse embryonic stem cells	Oth@ Smad2
H3K4me1 (ab8895)|E2A-/- pre-pro-B cell	His@ H3K4me1
H3K9ac (Upstate Biotechnologies, 06-942)|Chromatin IP against acetylated H3 lysine 9	His@ H3K9ac
H3K4me1 (Vendor: Abcam, cat# ab8895, lot# 721955)|PUER cells	His@ H3K4me1
RAG2 (rabbit polyclonal antibody raised to RAG2 aa 70-516 (Leu and Schatz, PMID: 7565717))|Total thymocytes	Oth@ Rag2
native ChIP input control.  No antibody.|Embryonic stem cells	InP@ Input control
RNA Pol II (Rpb1 N-terminus)|ZHBTc4 mES cells	Pol@ RNA Polymerase II
native ChIP input control. No antibody.|Embryonic stem cells	InP@ Input control
SetDB1|V6.5 mES cells	Oth@ Setdb1
H3K4me3 Diagenode	His@ H3K4me3
none|mouse embryonic fibroblasts	InP@ Input control
anti-H3K4me3	His@ H3K4me3
N/A|mammary gland	InP@ Input control
N/A|liver	InP@ Input control
none|Satellite cells	InP@ Input control
H3K27me3 (Diagenode pAb-069-050)|TT2	His@ H3K27me3
a-H3K9me3|miwi2KO_GermCellsTestis_MACS_H3K9me3	His@ H3K9me3
a-H3K9me3|miwi2HET_GermCellsTestis_MACS_H3K9me3	His@ H3K9me3
Millipore, 07-449|KO MEF	His@ H3K27me3
Millipore, 07-449|WT MEF	His@ H3K27me3
ATF3|BMM_LPS_0240_ATF3	Oth@ Atf3
p50|BMM_NoStim_0000_P50	Unc@ Unclassified
n.a.|Pro-B cell	Unc@ Unclassified
H3K27ac|male_WT_LF	His@ H3K27ac
H3K27ac|male_WT_HF	His@ H3K27ac
none|Primary B-cells	InP@ Input control
none|myoblasts_input	InP@ Input control
none|Input_ING1_flag_myotubes	InP@ Input control
Wdr5|Wdr5_myoblasts	Oth@ Wdr5
anti-FLAG|ING1_flag_myotubes	Oth@ Epitope tags
Pu1|FDCPmix	Oth@ Spi1
None|mouse heart	InP@ Input control
none|hindlimb muscles	InP@ Input control
none|spleen	InP@ Input control
KDM6A	Oth@ Kdm6a
Abcam|ab4729	His@ H3K27ac
none|3T3-L1 preadipocytes	InP@ Input control
c-Maf|Th17 in vitro	Oth@ Maf
B-ATF|Th17 in vitro	Oth@ Batf
Treg Foxp3 ChIP	Oth@ Foxp3
Runx1|ab61753|sc-8564|bone marrow	Oth@ Runx1
RPA|Spleen	Oth@ Rpa1
H3K9Ac|Liver	His@ H3K9ac
none|whole heart	InP@ Input control
RNA-polymerase II|mouse bone marrow-derived macrophages	Pol@ RNA Polymerase II
HEK4me3	His@ H3K4me3
p300	Oth@ Ep300
HNF4a	Oth@ Hnf4a
CEBPa	Oth@ Cebpa
Total MeCP2 antibody (Chen et al. 2003)|Frontal Cortex	Oth@ Mecp2
H3AC (acetylated histone H3)|ESC differentiated day 6 cells	His@ H3ac
H3AC (acetylated histone H3)|ESC differentiated day 4 cells	His@ H3ac
H3AC (acetylated histone H3)|ESC differentiated day 2 cells	His@ H3ac
HDAC1 (3 FLAG-HDAC1)|ESC differentiated day 2 cells	Oth@ Hdac1
anti-p300 (EP300) antibody|3134 cells	Oth@ Ep300
none|Embryonic stem cells (ESCs)	InP@ Input control
Sirt6 (Cell Signaling Technology, 12486 in a ratio of 1ml/2e7 cells)|Embryonic stem cells (ESCs)	Oth@ Sirt6
PolII (Abcam, cat# ab5408, lot# GR106949-6, 5ug)|Mammary tissues	Pol@ RNA polymerase II
EZH2 (Diagenode, cat# C15410039 and lot# 003)|Mammary tissues	Oth@ Ezh2
EZH1 (gift from Sartorelli, Mousavi et al. Mol. Cell 2012)|Mammary tissues	Oth@ Ezh1
input|embryonic stem cells	InP@ Input control
Oct4|embryonic stem cells	Oth@ Pou5f1
H3K9me3 (Abcam, catalog# ab8898, lot# GR79978-1 and also 960144 earlier)|Hippocampus	His@ H3K9me3
H3K36me3 (Abcam, catalog# ab9050, lot# GR82518-1 and also 750267 earlier)|Hippocampus	His@ H3K36me3
Bethyl BRD2 A302-583A|GATA1 null erythroblasts	Oth@ Brd2
AtT20 cells	Unc@ Unclassified
Mbd3 (Bethyl, A302-528A)|ES cell culture	Oth@ Mbd3
Chd4 (Abcam, ab70469)|ES cell culture	Oth@ Chd4
none|Primary culutured mouse cortical neurons (DIV 8)	InP@ Input control
H3K9S10|Millipore (05-809)|Primary culutured mouse cortical neurons (DIV 8)	His@ H3K9S10me3
Made in Lab (Harms et al. 2014. Cell Metab.)|Prdm16 Knockout BAT	Oth@ Prdm16
Made in Lab (Harms et al. 2014. Cell Metab.)|Wildtype BAT	Oth@ Prdm16
pan-H3 (Sigma I8140)|TT2	His@ H3
E16.5 sorted germ cells	Unc@ Unclassified
anti-H3K27ac|Kupffer cells with CD45.1 mark	His@ H3K27ac
anti-H3K4me2|Kupffer cells with CD45.1 mark	His@ H3K4me2
anti-H3K4me1|Kupffer cells with CD45.1 mark	His@ H3K4me1
anti-H3K27ac|Spleen red pulp macrophages with CD45.1 mark	His@ H3K27ac
anti-H3K4me2|Spleen red pulp macrophages with CD45.1 mark	His@ H3K4me2
anti-H3K4me1|Spleen red pulp macrophages with CD45.1 mark	His@ H3K4me1
anti-H3K27ac|Peritoneal cavity macrophages with CD45.1 mark	His@ H3K27ac
anti-H3K4me2|Peritoneal cavity macrophages with CD45.1 mark	His@ H3K4me2
anti-H3K4me1|Peritoneal cavity macrophages with CD45.1 mark	His@ H3K4me1
anti-H3K27ac|Lung macrophages with CD45.1 mark	His@ H3K27ac
anti-H3K4me2|Lung macrophages with CD45.1 mark	His@ H3K4me2
anti-H3K4me1|Lung macrophages with CD45.1 mark	His@ H3K4me1
anti-H3K4me2|Peritoneal cavity macrophages	His@ H3K4me2
anti-H3K27ac|Peritoneal cavity macrophages	His@ H3K27ac
anti-H3K4me1|Peritoneal cavity macrophages	His@ H3K4me1
anti-H3K27ac|Lung macrophages	His@ H3K27ac
anti-H3K4me1|Lung macrophages	His@ H3K4me1
anti-H3K27ac|Brain microglia	His@ H3K27ac
anti-H3K4me1|Brain microglia	His@ H3K4me1
NA|RA-treated Mutant ESC	InP@ Input control
H3K9me2, mAbcam 1220|RA-treated Mutant ESC	His@ H3K9me2
NA|Mutant ESC	InP@ Input control
H3K9me2, mAbcam 1220|Mutant ESC	His@ H3K9me2
NA|RA-treated WT ESC	InP@ Input control
H3K9me2, mAbcam 1220|RA-treated WT ESC	His@ H3K9me2
NA|WT ESC	InP@ Input control
Abcam, ab4729|activated B cell	His@ H3K27ac
HA 12CA5|pancreatic beta cell line	Oth@ Epitope tags
GATA-1 Antibody (N6)|G1E_GATA1 +JQ1	Oth@ Gata1
GATA-1 Antibody (N6)|G1E_GATA1 control	Oth@ Gata1
Rabbit polyclonal anti-RUNX1 (non-commercial antibody)|EML cells	Oth@ Runx1
Rabbit Serum IgG (Sigma I5006)|EML cells	InP@ Input control
Sox2 clone 6F1.2 EMD Millipore Cat# 17-656|iMOP cells	Oth@ Sox2
c-Myc (N-262) Santa Cruz Cat# sc-764|iMOP cells	Oth@ Myc
RNA polymerase II clone 4H8 (Abcam Cat#ab5408)|iMOP cells	Pol@ RNA polymerase II
H3K27ac (Abcam 4729)|MLL-AF9-puro transformed murine leukemia cell line	His@ H3K27ac
CSL(RBPSUH)|T cell acute lymphocytic leukemia	Oth@ Rbpj
Notch1 (antisera made in lab)|T cell acute lymphocytic leukemia	Oth@ Notch1
T cell acute lymphocytic leukemia	Unc@ Unclassified
Smc1a|Anti-Smc1a (Bethyl Laboratories, catalog number A300-055A)|CD4+CD8+ double positive thymocytes	Oth@ Smc1a
H3K27me3 (#17-622, Millipore)|Forebrain E10.5	His@ H3K27me3
H3K4me1 (abcam, catalog# ab8895, lot# GR114298-1)|Mouse back skins	His@ H3K4me3
Med1 (Crsp1/Trap220, Bethyl Laboratories, catalog# A300-793A, lot# A300-793A-2)|Mouse back skins	Oth@ Med1
H3K27ac (abcam, catalog# ab4729, lot# GR132150-1)|Mouse back skins	His@ H3K27ac
anti-H3K4me3 (Millipore, catalog# 07-473)|differentiated cells (ESCs were subjected to Spinal motor Neuron in vitro directed differentiation)	His@ H3K4me3
anti-H3K4me3 (Millipore, catalog# 07-473)|ES cells	His@ H3K4me3
RNA polymerase II phosphoS5 antibody|Pol II ChIP-Seq Mock 60 min Cort Constant	Pol@ RNA polymerase II
